"chassisdef_archer_ARC-8L.Description.Details";"The Archer 8L is a prototype chassis designed to provide fire support with 2 Arrow IV Launchers loaded with Incendiary Missiles and the newly developed Guardian ECM and Stealth Armor.";"Archer 8L - прототип меха огневой поддержки, вооруженный двумя пусковыми установками Arrow IV с термобарическими боеприпасами Incendiary и оснащенный недавно разработанной Guardian ECM и Stealth Armor.";;;"#FF0000"
"chassisdef_archer_ARC-8L.StockRole";"Heavy Fire Support & Defender";"Тяжелый оборонительный мех поддержки";;;"#FF0000"
"chassisdef_archer_ARC-8L.YangsThoughts";"The Archer 8L is a prototype chassis designed to provide fire support with 2 Arrow IV Launchers loaded with Incendiary Missiles and the newly developed Guardian ECM and Stealth Armor.";"Archer 8L - прототип меха огневой поддержки, вооруженный двумя пусковыми установками Arrow IV с термобарическими боеприпасами Incendiary и оснащенный недавно разработанной Guardian ECM и Stealth Armor.";;;"#FF0000"
"chassisdef_catapult_CPLT-C3.Description.Details";"The C3 variant takes the 'Mech's long range fire support to a new level by removing both of the LRM-15 launchers and replacing them with an Arrow IV artillery system, allowing the Catapult to stay a safe distance from the battlefield. <b><color=#53ff1a>Restricted Actuators- Left: Upper, Right: Upper</color></b>\n----\nThe C3 variant takes the 'Mech's long range fire support to a new level by removing both of the LRM-15 launchers and replacing them with an Arrow IV artillery system, allowing the Catapult to stay a safe distance from the battlefield.";"Вариант C3 подымает огневую поддержку дальнего действия меха на новый уровень, удаляя обе пусковые установки LRM-15 и заменяя их артиллерийской системой Arrow IV, позволяя катапульте оставаться на безопасном расстоянии от поля битвы. <color=#53ff1a> <b>Доступные приводы рук: Верхний</b> </color>";;;"#FF0000"
"chassisdef_catapult_CPLT-C3.StockRole";"Heavy Fire Support";"Тяжелая огневая поддержка";;;"#FF0000"
"chassisdef_catapult_CPLT-C3.YangsThoughts";"The C3 variant takes the 'Mech's long range fire support to a new level by removing both of the LRM-15 launchers and replacing them with an Arrow IV artillery system, allowing the Catapult to stay a safe distance from the battlefield. <b><color=#53ff1a>Restricted Actuators- Left: Upper, Right: Upper</color></b>\n----\nThe C3 variant takes the 'Mech's long range fire support to a new level by removing both of the LRM-15 launchers and replacing them with an Arrow IV artillery system, allowing the Catapult to stay a safe distance from the battlefield.";"Вариант C3 подымает огневую поддержку дальнего действия меха на новый уровень, удаляя обе пусковые установки LRM-15 и заменяя их артиллерийской системой Arrow IV, позволяя катапульте оставаться на безопасном расстоянии от поля битвы. <color=#53ff1a> <b>Доступные приводы рук: Верхний</b> </color>";;;"#FF0000"
"chassisdef_catapult_CPLT-IIC-5.Description.Details";"A Heavier Clan Tech upgraded Catapult. This Variant swapped its main weaponry for Arrow IV artillery system.  <b><color=#53ff1a>Restricted Actuators- Left: Upper, Right: Upper</color></b>";"Утяжелённая клановская модификация Catapult. В этой конфигурации основное вооружение заменено на артиллерийскую систему Arrow IV. . <color=#53ff1a> <b>Доступные приводы рук: Верхний</b> </color>";;;"#FF0000"
"chassisdef_catapult_CPLT-IIC-5.StockRole";"Clan BattleMech";"BattleMech кланов";;;"#FF0000"
"chassisdef_catapult_CPLT-IIC-5.YangsThoughts";"A Heavier Clan Tech upgraded Catapult. This Variant swapped its main weaponry for Arrow IV artillery system. ";"Утяжелённая клановская модификация Catapult. В этой конфигурации основное вооружение заменено на артиллерийскую систему Arrow IV. . <color=#53ff1a> <b>Доступные приводы рук: Верхний</b> </color>";;;"#FF0000"
"chassisdef_dragon_DRG-11K.Description.Details";"The Dragon II is a Heavy BattleMech built by LAW for the armed forces of the Draconis Combine during the post-Jihad era. Built as a successor to the aging Dragon, the 'Mech was designed with Advanced Technology to allow it to handle threats of the new era. The design was phased in as a replacement to the older Dragons, which were nearing the end of their service lives. <b><color=#53ff1a>Restricted Actuators- Left: Lower, Right: Lower</color></b>";"Dragon II - это тяжёлый мех, разработанный LAW для вооруженных сил Синдиката Дракона после эры Джихада. Спроектированный как замена устаревающему меху Dragon, Dragon II оснащён передовыми технологиями для противостояния современным угрозам. Мех был внедрён поэтапно по мере окончания срока службы мехов Dragon.<color=#53ff1a> <b>Доступные приводы рук: Верхний, Нижний</b> </color>";;;"#FF0000"
"chassisdef_dragon_DRG-11K.StockRole";"Skirmisher & Brawler";"Skirmisher & Brawler";;;"#FF0000"
"chassisdef_dragon_DRG-11K.YangsThoughts";"The Dragon II is a Heavy BattleMech built by LAW for the armed forces of the Draconis Combine during the post-Jihad era. Built as a successor to the aging Dragon, the 'Mech was designed with Advanced Technology to allow it to handle threats of the new era. The design was phased in as a replacement to the older Dragons, which were nearing the end of their service lives. <b><color=#53ff1a>Restricted Actuators- Left: Lower, Right: Lower</color></b>";"Dragon II - это тяжёлый мех, разработанный LAW для вооруженных сил Синдиката Дракона после эры Джихада. Спроектированный как замена устаревающему меху Dragon, Dragon II оснащён передовыми технологиями для противостояния современным угрозам. Мех был внедрён поэтапно по мере окончания срока службы мехов Dragon.<color=#53ff1a> <b>Доступные приводы рук: Верхний, Нижний</b> </color>";;;"#FF0000"
