"TraitClanner.Description.Details";"PASSIVE: Reduces Heat generation by 10%.";"PASSIVE: генерация тепла снижена на 10%";;"#000000";"#FFFFFF"
"TraitClanner.Description.Name";"AI d8 buff";"AI d8 buff";;"#000000";"#FFFFFF"
"TraitClanner.ShortDesc";"-10% Heat Generation";"-10% генер. тепла";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Gunnery.EffectData0.Details";"Buffs Gunnery Skill";"Усил. Gunnery";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Gunnery.EffectData0.Name";"Gunnery Buff";"Gunnery усил.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Guts.EffectData2.Details";"Buffs Guts Skill";"Усил. Guts";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Guts.EffectData2.Name";"Guts Buff";"Guts усил.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Piloting.EffectData1.Details";"Buffs Piloting Skill";"Усил. Piloting";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Piloting.EffectData1.Name";"Piloting Buff";"Piloting усил.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Tactics.EffectData3.Details";"Buffs Tactics Skill";"Усил. Tactics";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect_Cockpit_Skill_Tactics.EffectData3.Name";"Tactics Buff";"Tactics усил.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDeBuffAcc.EffectData8.Details";"Melee attacks have +1 Accuracy.";"Рукоп. атаки +1 к точности.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDeBuffAcc.EffectData8.Name";"Articulate Actuators";"Шарнирные приводы";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDeBuffAcc.EffectData9.Details";"Melee attacks have +1 Accuracy.";"Рукоп. атаки +1 к точности.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDeBuffAcc.EffectData9.Name";"Articulate Actuators";"Шарнирные приводы";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffDFA.EffectData4.Details";"Melee attacks deal 50% Extra damage.";"Рукоп. атаки наносят на 50% больше урона.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffDFA.EffectData4.Name";"Hand Melee Damage";"Урон рукопашной";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffDFAStab.EffectData5.Details";"Melee attacks deal 20% Extra stab damage.";"Рукоп. атаки наносят на 20% больше ур. устойч.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffDFAStab.EffectData5.Name";"Hand Melee Damage";"Урон рукопашной";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffMelee.EffectData6.Details";"Melee attacks deal 50% Extra damage.";"Рукоп. атаки наносят на 50% больше урона.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffMelee.EffectData6.Name";"Hand Melee Damage";"Урон рукопашной";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffMeleeStab.EffectData7.Details";"Melee attacks deal 20% Extra stab damage.";"Рукоп. атаки наносят на 20% больше ур. устойч.";;"#000000";"#FFFFFF"
"TraitClanner.StatusEffect-ClannerDebuffMeleeStab.EffectData7.Name";"Hand Melee Damage";"Урон рукопашной";;"#000000";"#FFFFFF"
"TraitClanner_HH.Description.Details";"ABILITYREALIZER.TRAITCLANNERHH.DETAILS";"ABILITYREALIZER.TRAITCLANNERHH.DETAILS";;;
"TraitClanner_HH.Description.Name";"ABILITYREALIZER.TRAITCLANNERHH.NAME";"ABILITYREALIZER.TRAITCLANNERHH.NAME";;;
"TraitClanner_HH.ShortDesc";"-10% Heat Generation";"-10% Heat Generation";;;
"TraitClanner_HH.StatusEffect_Cockpit_Skill_Guts.EffectData0.Details";"Buffs Guts Skill";"Buffs Guts Skill";;;
"TraitClanner_HH.StatusEffect_Cockpit_Skill_Guts.EffectData0.Name";"Guts Buff";"Guts Buff";;;
"TraitClanner_HH.StatusEffect_Cockpit_Skill_Tactics.EffectData1.Details";"Buffs Tactics Skill";"Buffs Tactics Skill";;;
"TraitClanner_HH.StatusEffect_Cockpit_Skill_Tactics.EffectData1.Name";"Tactics Buff";"Tactics Buff";;;
"TraitClanner_HH.StatusEffect-ClannerDeBuffAcc.EffectData6.Details";"Melee attacks have +1 Accuracy.";"Melee attacks have +1 Accuracy.";;;
"TraitClanner_HH.StatusEffect-ClannerDeBuffAcc.EffectData6.Name";"Articulate Actuators";"Articulate Actuators";;;
"TraitClanner_HH.StatusEffect-ClannerDeBuffAcc.EffectData7.Details";"Melee attacks have +1 Accuracy.";"Melee attacks have +1 Accuracy.";;;
"TraitClanner_HH.StatusEffect-ClannerDeBuffAcc.EffectData7.Name";"Articulate Actuators";"Articulate Actuators";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffDFA.EffectData2.Details";"Melee attacks deal 50% Extra damage.";"Melee attacks deal 50% Extra damage.";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffDFA.EffectData2.Name";"Hand Melee Damage";"Hand Melee Damage";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffDFAStab.EffectData3.Details";"Melee attacks deal 20% Extra stab damage.";"Melee attacks deal 20% Extra stab damage.";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffDFAStab.EffectData3.Name";"Hand Melee Damage";"Hand Melee Damage";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffMelee.EffectData4.Details";"Melee attacks deal 50% Extra damage.";"Melee attacks deal 50% Extra damage.";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffMelee.EffectData4.Name";"Hand Melee Damage";"Hand Melee Damage";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffMeleeStab.EffectData5.Details";"Melee attacks deal 20% Extra stab damage.";"Melee attacks deal 20% Extra stab damage.";;;
"TraitClanner_HH.StatusEffect-ClannerDebuffMeleeStab.EffectData5.Name";"Hand Melee Damage";"Hand Melee Damage";;;
"TraitComstar.Description.Details";"PASSIVE: Reduces Heat generation by 10%.";"PASSIVE: генерация тепла снижена на 10%";;"#000000";"#FFFFFF"
"TraitComstar.Description.Name";"AI d8 buff";"AI d8 buff";;"#000000";"#FFFFFF"
"TraitComstar.ShortDesc";"-10% Heat Generation";"-10% генер. тепла";;"#000000";"#FFFFFF"
"TraitComstar.TraitClannerSensors.EffectData1.Details";"+50m View Distance";"+50m дальность обзора";;"#000000";"#FFFFFF"
"TraitComstar.TraitClannerSensors.EffectData1.Name";"Increased view Distance";"Увел. дальность обзора";;"#000000";"#FFFFFF"
"TraitComstar.TraitClannerSight.EffectData0.Details";"+50m View Distance";"+50m дальность обзора";;"#000000";"#FFFFFF"
"TraitComstar.TraitClannerSight.EffectData0.Name";"Increased view Distance";"Увел. дальность обзора";;"#000000";"#FFFFFF"
"TraitDavion.Description.Details";"PASSIVE: Reduces Heat generation by 10%.";"PASSIVE: генерация тепла снижена на 10%";;"#000000";"#FFFFFF"
"TraitDavion.Description.Name";"AI d10 buff";"AI d10 buff";;"#000000";"#FFFFFF"
"TraitDavion.ShortDesc";"-10% Heat Generation";"-10% генер. тепла";;"#000000";"#FFFFFF"
"TraitDavion.TraitDavion.EffectData0.Details";"+50m View Distance";"+50m дальность обзора";;"#000000";"#FFFFFF"
"TraitDavion.TraitDavion.EffectData0.Name";"Increased view Distance";"Увел. дальность обзора";;"#000000";"#FFFFFF"
"TraitIves.Description.Details";"PASSIVE: Reduces Heat generation by 10%.";"PASSIVE: генерация тепла снижена на 10%";;"#000000";"#FFFFFF"
"TraitIves.Description.Name";"AI d10 buff";"AI d10 buff";;"#000000";"#FFFFFF"
"TraitIves.ShortDesc";"-10% Heat Generation";"-10% генер. тепла";;"#000000";"#FFFFFF"
