"chassisdef_executioner_EXE-K.Description.Details";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-K is armed with a pair of ER Large Lasers and a HAG/20 for long range combat. For close range combat, the EXE-K has 4 ER Medium Lasers. A Light Active Probe allows the EXE-K to act as a scout.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-K is armed with a pair of ER Large Lasers and a HAG/20 for long range combat. For close range combat, the EXE-K has 4 ER Medium Lasers. A Light Active Probe allows the EXE-K to act as a scout.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>

<b><color=#e62e00>Quirk: Intimidating</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_executioner_EXE-K.StockRole";"Skirmisher";"Skirmisher";;"#000000";"#FFFFFF"
"chassisdef_executioner_EXE-K.YangsThoughts";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-K is armed with a pair of ER Large Lasers and a HAG/20 for long range combat. For close range combat, the EXE-K has 4 ER Medium Lasers. A Light Active Probe allows the EXE-K to act as a scout.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-K is armed with a pair of ER Large Lasers and a HAG/20 for long range combat. For close range combat, the EXE-K has 4 ER Medium Lasers. A Light Active Probe allows the EXE-K to act as a scout.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_executioner_EXE-P.Description.Details";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-P is armed with a LRM-10 and a HAG/30 for long range combat. For close range combat, the EXE-P has 3 Heavy Medium Lasers and a Plasma Cannon.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-P is armed with a LRM-10 and a HAG/30 for long range combat. For close range combat, the EXE-P has 3 Heavy Medium Lasers and a Plasma Cannon.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>

<b><color=#e62e00>Quirk: Intimidating</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_executioner_EXE-P.StockRole";"Skirmisher";"Skirmisher";;"#000000";"#FFFFFF"
"chassisdef_executioner_EXE-P.YangsThoughts";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-P is armed with a LRM-10 and a HAG/30 for long range combat. For close range combat, the EXE-P has 3 Heavy Medium Lasers and a Plasma Cannon.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"Capable of reaching speeds of 87 km/h with it’s MASC activated, the Executioner is a fast 95 ton Clan OmniMech. Powered by a 380 rated XL Engine, the Executioner has 26.5 tons of pod space. The MASC and 4 Jump Jets are hardwired into the chassis. The Executioner EXE-P is armed with a LRM-10 and a HAG/30 for long range combat. For close range combat, the EXE-P has 3 Heavy Medium Lasers and a Plasma Cannon.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_hellhound_HND-4.Description.Details";"The Hellhound is a Clan Jade Falcon medium 'Mech that can outrun practically anything it cannot outgun. Created after their war with Clan Wolf and built on Inner Sphere planets, it has found its way into many armies.\n\n<b><color=#e62e00>Quirk: Nimble</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.1</color></b>";"The Hellhound is a Clan Jade Falcon medium 'Mech that can outrun practically anything it cannot outgun. Created after their war with Clan Wolf and built on Inner Sphere planets, it has found its way into many armies.

<b><color=#e62e00>Quirk: Nimble</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.1</color></b>";;"#000000";"#FFFFFF"
"chassisdef_hellhound_HND-4.StockRole";"Scout & Striker";"Scout & Striker";;"#000000";"#FFFFFF"
"chassisdef_hellhound_HND-4.YangsThoughts";"The Hellhound is a Clan Jade Falcon medium 'Mech that can outrun practically anything it cannot outgun. Created after their war with Clan Wolf and built on Inner Sphere planets, it has found its way into many armies.";"The Hellhound is a Clan Jade Falcon medium 'Mech that can outrun practically anything it cannot outgun. Created after their war with Clan Wolf and built on Inner Sphere planets, it has found its way into many armies.";;"#000000";"#FFFFFF"
"chassisdef_huntsman_HMN-E.Description.Details";"A Nova Cat design, the 50 ton Huntsman was designed for Operation Revival and the invasion of the Inner Sphere; first entering production in 3049. An OmniMech, the Huntsman is built around a 250 rated XL Engine with an Endo Steel Skeleton and Ferro Fibrous armour giving the OmniMech, 21.5 tons of pod space. 5 Jump Jets are fixed to the chassis, giving the Huntsman additional flexibility. The Huntsman E is armed with a Large Pulse Laser and an ATM-6. A pair of Medium Pulse Lasers and an ER Small Laser provide additional firepower at close range. A combination of a Light TAG and a Light Active Probe allow the Huntsman to scout or spot for allied units. AMS protects the Huntsman against incoming missiles.\\n\\n\n\n<b><color=#e62e00>Quirk: Stable</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.05</color></b>";"A Nova Cat design, the 50 ton Huntsman was designed for Operation Revival and the invasion of the Inner Sphere; first entering production in 3049. An OmniMech, the Huntsman is built around a 250 rated XL Engine with an Endo Steel Skeleton and Ferro Fibrous armour giving the OmniMech, 21.5 tons of pod space. 5 Jump Jets are fixed to the chassis, giving the Huntsman additional flexibility. The Huntsman E is armed with a Large Pulse Laser and an ATM-6. A pair of Medium Pulse Lasers and an ER Small Laser provide additional firepower at close range. A combination of a Light TAG and a Light Active Probe allow the Huntsman to scout or spot for allied units. AMS protects the Huntsman against incoming missiles.\\n\\n

<b><color=#e62e00>Quirk: Stable</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.05</color></b>";;"#000000";"#FFFFFF"
"chassisdef_huntsman_HMN-E.StockRole";"Skirmisher";"Skirmisher";;"#000000";"#FFFFFF"
