"chassisdef_angrboda_MCII-AN.Description.Details";"Developed by Clan Hells Horses as an insult to Clan Diamond Shark is this variant of the Mad Cat MKII designed to carry a pair of their newly developed experimental RAC5, bringing Sorrow upon any who dare stand in its Way.\n\n<b><color=#e62e00>Quirk: Accurate Weapon - AC</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.29</color></b>";"Developed by Clan Hells Horses as an insult to Clan Diamond Shark is this variant of the Mad Cat MKII designed to carry a pair of their newly developed experimental RAC5, bringing Sorrow upon any who dare stand in its Way.

<b><color=#e62e00>Склонность: Accurate Weapon - AC</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.29</color></b>";;"#000000";"#FFFFFF"
"chassisdef_angrboda_MCII-AN.StockRole";"Elite BattleMech";"Elite BattleMech";;"#000000";"#FFFFFF"
"chassisdef_angrboda_MCII-AN.YangsThoughts";"Developed by Clan Hells Horses as an insult to Clan Diamond Shark is this variant of the Mad Cat MKII designed to carry a pair of their newly developed experimental RAC5, bringing Sorrow upon any who dare stand in its Way.";"Developed by Clan Hells Horses as an insult to Clan Diamond Shark is this variant of the Mad Cat MKII designed to carry a pair of their newly developed experimental RAC5, bringing Sorrow upon any who dare stand in its Way.";;"#000000";"#FFFFFF"
"chassisdef_anubis_ABS-S7.Description.Details";"Designed by Fredonian Industrial Technologies, the Anubis was originally designed to compliment the Osiris BattleMech in use by the Federated Suns. This particular Anubis was fully customized by an unknown Mechwarrior for the Solaris arenas. All the weapons and electronics have been overhauled to feature dual Improved ATM-6 systems and a pair of ER Medium Pulse Lasers. \n\n<b><color=#e62e00>Quirk: Nimble</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.03</color></b>";"Designed by Fredonian Industrial Technologies, the Anubis was originally designed to compliment the Osiris BattleMech in use by the Federated Suns. This particular Anubis was fully customized by an unknown Mechwarrior for the Solaris arenas. All the weapons and electronics have been overhauled to feature dual Improved ATM-6 systems and a pair of ER Medium Pulse Lasers. 

<b><color=#e62e00>Склонность: Nimble</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.03</color></b>";;"#000000";"#FFFFFF"
"chassisdef_anubis_ABS-S7.StockRole";"Arena Anubis";"Arena Anubis";;"#000000";"#FFFFFF"
"chassisdef_anubis_ABS-S7.YangsThoughts";"Boss, some arena Mechwarrior has put some serious upgrades into this thing. They upgraded the already good stealth systems, weapons, and even threw on jump jets!";"Boss, some arena Mechwarrior has put some serious upgrades into this thing. They upgraded the already good stealth systems, weapons, and even threw on jump jets!";;"#000000";"#FFFFFF"
"chassisdef_athena_ARC-XR.Description.Details";"The Athena is a Stealthed Heavy fire support Plattform, based upon the Word of Blake Archer 9W, developed to assist in Black Ops and plausible deniability does it carry a hyperspecialized Warfare Suite that takes over the Mech's passive Computers coupled with a Void Signature Systems.\n\n<b><color=#e62e00>Quirk: Command Mech</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.21</color></b>";"The Athena is a Stealthed Heavy fire support Plattform, based upon the Word of Blake Archer 9W, developed to assist in Black Ops and plausible deniability does it carry a hyperspecialized Warfare Suite that takes over the Mech's passive Computers coupled with a Void Signature Systems.

<b><color=#e62e00>Склонность: Command Mech</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.21</color></b>";;"#000000";"#FFFFFF"
"chassisdef_athena_ARC-XR.StockRole";"Prototype Fire Support";"Prototype Fire Support";;"#000000";"#FFFFFF"
"chassisdef_athena_ARC-XR.YangsThoughts";"The Athena is a Stealthed Heavy fire support Plattform, based upon the Word of Blake Archer 9W, developed to assist in Black Ops and plausible deniability does it carry a hyperspecialized Warfare Suite that takes over the Mech's passive Computers coupled with a Void Signature Systems.";"The Athena is a Stealthed Heavy fire support Plattform, based upon the Word of Blake Archer 9W, developed to assist in Black Ops and plausible deniability does it carry a hyperspecialized Warfare Suite that takes over the Mech's passive Computers coupled with a Void Signature Systems.";;"#000000";"#FFFFFF"
"chassisdef_axman_AXM-S7X.Description.Details";"Developed by Team Banzai as the big brother of the highly successful Hatchetman, the Axman was designed exclusively to be a 'Mech killer. The Axman was also intended as a symbol of solidarity throughout the Federated Commonwealth by using components that were produced in Davion, Steiner, and even former Liao space.\n\n<b><color=#e62e00>Quirk: Accurate Weapon - HandHeld</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.15</color></b>";"Developed by Team Banzai as the big brother of the highly successful Hatchetman, the Axman was designed exclusively to be a 'Mech killer. The Axman was also intended as a symbol of solidarity throughout the Federated Commonwealth by using components that were produced in Davion, Steiner, and even former Liao space.

<b><color=#e62e00>Склонность: Accurate Weapon - HandHeld</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.15</color></b>";;"#000000";"#FFFFFF"
"chassisdef_axman_AXM-S7X.StockRole";"Brawler & Skirmisher";"Brawler & Skirmisher";;"#000000";"#FFFFFF"
"chassisdef_axman_AXM-S7X.YangsThoughts";"Developed by Team Banzai as the big brother of the highly successful Hatchetman, the Axman was designed exclusively to be a 'Mech killer. The Axman was also intended as a symbol of solidarity throughout the Federated Commonwealth by using components that were produced in Davion, Steiner, and even former Liao space.";"Developed by Team Banzai as the big brother of the highly successful Hatchetman, the Axman was designed exclusively to be a 'Mech killer. The Axman was also intended as a symbol of solidarity throughout the Federated Commonwealth by using components that were produced in Davion, Steiner, and even former Liao space.";;"#000000";"#FFFFFF"
"chassisdef_baba_yaga_AS7-DX.Description.Details";"Recovered and rebuilt by VENS by order of a rather wealthy merc client, this Prototype Atlas 3 was designed to be even more intimdating. According to her wishes, it boasts superior agility barely seen in its class.\n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.26</color></b>";"Recovered and rebuilt by VENS by order of a rather wealthy merc client, this Prototype Atlas 3 was designed to be even more intimdating. According to her wishes, it boasts superior agility barely seen in its class.

<b><color=#e62e00>Склонность: Intimidating</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.26</color></b>";;"#000000";"#FFFFFF"
"chassisdef_baba_yaga_AS7-DX.StockRole";"Wood Witch";"Wood Witch";;"#000000";"#FFFFFF"
"chassisdef_baba_yaga_AS7-DX.YangsThoughts";"Recovered and rebuilt by VENS by order of a rather wealthy merc client, this Prototype Atlas 3 was designed to be even more intimdating. According to her wishes, it boasts superior agility barely seen in its class.";"Recovered and rebuilt by VENS by order of a rather wealthy merc client, this Prototype Atlas 3 was designed to be even more intimdating. According to her wishes, it boasts superior agility barely seen in its class.";;"#000000";"#FFFFFF"
"chassisdef_Basilisk_CPLT-S7.Description.Details";"The Basilisk is an agile Fire Support Platform, capable to dish out high damage at extreme ranges while staying relatively safe itself, some refer to it as a Mad Catapult.\n\n<b><color=#e62e00>Quirk: Improved Lifesupport</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.19</color></b>";"The Basilisk is an agile Fire Support Platform, capable to dish out high damage at extreme ranges while staying relatively safe itself, some refer to it as a Mad Catapult.

<b><color=#e62e00>Склонность: Improved Lifesupport</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.19</color></b>";;"#000000";"#FFFFFF"
"chassisdef_Basilisk_CPLT-S7.StockRole";"Elite Battlemech";"Elite Battlemech";;"#000000";"#FFFFFF"
"chassisdef_Basilisk_CPLT-S7.YangsThoughts";"The Basilisk is an agile Fire Support Platform, capable to dish out high damage at extreme ranges while staying relatively safe itself, some refer to it as a Mad Catapult.";"The Basilisk is an agile Fire Support Platform, capable to dish out high damage at extreme ranges while staying relatively safe itself, some refer to it as a Mad Catapult.";;"#000000";"#FFFFFF"
"chassisdef_Behemoth_KGC-B.Description.Details";"The Behemoth, named after Terran mythology, this 'Mech is designed to withstand more punishment than any other 'Mech conceivable while bringing its 2 LBX20's to bear.\n\n<b><color=#e62e00>Quirk: Stable</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.26</color></b>";"The Behemoth, named after Terran mythology, this 'Mech is designed to withstand more punishment than any other 'Mech conceivable while bringing its 2 LBX20's to bear.

<b><color=#e62e00>Склонность: Stable</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.26</color></b>";;"#000000";"#FFFFFF"
"chassisdef_Behemoth_KGC-B.StockRole";"Elite BattleMech";"Elite BattleMech";;"#000000";"#FFFFFF"
"chassisdef_Behemoth_KGC-B.YangsThoughts";"The Behemoth, named after Terran mythology, this 'Mech is designed to withstand more punishment than any other 'Mech conceivable while bringing its 2 LBX20's to bear.";"The Behemoth, named after Terran mythology, this 'Mech is designed to withstand more punishment than any other 'Mech conceivable while bringing its 2 LBX20's to bear.";;"#000000";"#FFFFFF"
"chassisdef_desperado_GTL-S7.Description.Details";"Based on recovered blueprints from the fabled 'Guerilla' was this Gauntlet Commissioned, designed with mobility and long standing firepower in mind does it employ a Chameleon Light Polarisation Shield and a Torso Mounted Interface System.\n\n<b><color=#e62e00>Quirk: Adv. M.A.S.C.</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.13</color></b>";"Based on recovered blueprints from the fabled 'Guerilla' was this Gauntlet Commissioned, designed with mobility and long standing firepower in mind does it employ a Chameleon Light Polarisation Shield and a Torso Mounted Interface System.

<b><color=#e62e00>Склонность: Adv. M.A.S.C.</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.13</color></b>";;"#000000";"#FFFFFF"
"chassisdef_desperado_GTL-S7.StockRole";"Mobile Striker";"Mobile Striker";;"#000000";"#FFFFFF"
"chassisdef_desperado_GTL-S7.YangsThoughts";"Based on recovered blueprints from the fabled 'Guerilla' was this Gauntlet Commissioned, designed with mobility and long standing firepower in mind does it employ a Chameleon Light Polarisation Shield and a Torso Mounted Interface System.";"Based on recovered blueprints from the fabled 'Guerilla' was this Gauntlet Commissioned, designed with mobility and long standing firepower in mind does it employ a Chameleon Light Polarisation Shield and a Torso Mounted Interface System.";;"#000000";"#FFFFFF"
"chassisdef_dirge_LMT-S7.Description.Details";"The 3M Lament was developed as Testbed for the newly developed Heavy MRM Launchers.\n\n<b><color=#e62e00>Quirk: Accurate Weapon - Gauss</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";"The 3M Lament was developed as Testbed for the newly developed Heavy MRM Launchers.

<b><color=#e62e00>Склонность: Accurate Weapon - Gauss</color></b>

<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";;"#000000";"#FFFFFF"
"chassisdef_dirge_LMT-S7.StockRole";"RISC Elite";"RISC Elite";;"#000000";"#FFFFFF"
