"Weapon_Artillery_ArrowV_SOCIETY.Description.Details";"Designed to take down a multitude of targets, including aerospace assets and small craft, the Arrow V Missile features a powerful warhead capable of being reconfigured in the launcher moments before use to allow the pilot to cater the missile to his needs. Despite the project being rejected by Clan leadership, Society member cells continued its development and eventual production. The Arrow V utilizes advanced internal fire control systems, inluced Streak technology, which render it incapable of indirect fire.  \n\n<b><color=#ffcc00>Uses ArrowV Ammo.</color></b>";"Ракету Arrow V, оснащённую мощной боеголовкой, предназначенную для поражения множества целей, в том числе аэрокосмической техники и малых судов, можно легко перенастроить прямо в пусковой установке для различных целей. Несмотря на то, что проект был отклонен руководством кланов, члены Общества продолжали его развитие и, в конечном итоге, производство. В Arrow V используются передовые внутренние системы управления огнем, в том числе технология Streak, которая делает ракету неспособной вести огонь непрямой наводкой. 

<b><color=#ffcc00>Используется ArrowV Ammo. </color></b>";;"#000000";"#FFFFFF"
"Weapon_Artillery_ArrowV_SOCIETY.Description.Name";"Arrow V (S)";"Arrow V (S)";;"#000000";"#FFFFFF"
"Weapon_Artillery_ArrowV_SOCIETY.Description.UIName";"Arrow V (S)";"Arrow V (S)";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC10_HYPER_SOCIETY.Description.Details";"The Hypervelocity Autocannon (HVAC) family of weapons is based on the Autocannon. While they have the same damage classes, they're capable of firing much further. Once members of the Society discovered the use of these weapons in the Inner Sphere, they immediate developed and proposed their own prototypes to Clan leadership. While rejected by the Khans, HVAC (S) cannons were found amongst the Society 'Mechs and vehicles used during the Wars of Reaving. \n\n <b><color=#ffcc00>Uses HVAC10 Ammo.</color></b>";"Семейство пушек HVAC (Hypervelocity Autocannon) основано на простых автопушках. У них одинаковые классы урона, но они способны стрелять гораздо дальше. Как только члены Общества обнаружили применение этого оружия во Внутренней Сфере, они немедленно разработали и предложили свои прототипы руководству кланов. Отвергнутые ханами, пушки HVAC (S) были обнаружены среди мехов и техники Общества во времена Войн Опустошения.

 <b><color=#ffcc00>Используется HVAC10 Ammo.</color></b>";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC10_HYPER_SOCIETY.Description.Name";"HVAC/10 (S)";"HVAC/10 (S)";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC10_HYPER_SOCIETY.Description.UIName";"HVAC/10 (S)";"HVAC/10 (S)";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC2_HYPER_SOCIETY.Description.Details";"The Hypervelocity Autocannon (HVAC) family of weapons is based on the Autocannon. While they have the same damage classes, they're capable of firing much further. Once members of the Society discovered the use of these weapons in the Inner Sphere, they immediate developed and proposed their own prototypes to Clan leadership. While rejected by the Khans, HVAC (S) cannons were found amongst the Society 'Mechs and vehicles used during the Wars of Reaving. \n\n <b><color=#ffcc00>Uses HVAC2 Ammo.</color></b>";"Семейство пушек HVAC (Hypervelocity Autocannon) основано на простых автопушках. У них одинаковые классы урона, но они способны стрелять гораздо дальше. Как только члены Общества обнаружили применение этого оружия во Внутренней Сфере, они немедленно разработали и предложили свои прототипы руководству кланов. Отвергнутые ханами, пушки HVAC (S) были обнаружены среди мехов и техники Общества во времена Войн Опустошения.

 <b><color=#ffcc00>Используется HVAC2 Ammo.</color></b>";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC2_HYPER_SOCIETY.Description.Name";"HVAC/2 (S)";"HVAC/2 (S)";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC2_HYPER_SOCIETY.Description.UIName";"HVAC/2 (S)";"HVAC/2 (S)";;"#000000";"#FFFFFF"
"Weapon_Autocannon_AC20_HYPER_SOCIETY.Description.Details";"The Hypervelocity Autocannon (HVAC) family of weapons is based on the Autocannon. While they have the same damage classes, they're capable of firing much further. Once members of the Society discovered the use of these weapons in the Inner Sphere, they immediate developed and proposed their own prototypes to Clan leadership. While rejected by the Khans, HVAC (S) cannons were found amongst the Society 'Mechs and vehicles used during the Wars of Reaving. \n\n <b><color=#ffcc00>Uses HVAC20 Ammo.</color></b>";"Семейство пушек HVAC (Hypervelocity Autocannon) основано на простых автопушках. У них одинаковые классы урона, но они способны стрелять гораздо дальше. Как только члены Общества обнаружили применение этого оружия во Внутренней Сфере, они немедленно разработали и предложили свои прототипы руководству кланов. Отвергнутые ханами, пушки HVAC (S) были обнаружены среди мехов и техники Общества во времена Войн Опустошения.

 <b><color=#ffcc00>Используется HVAC20 Ammo.</color></b>";;"#000000";"#FFFFFF"
