"AmbushConvoy_CovertSupplies_Hard.contractName";"Secret Logistics";"Secret Logistics";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList0.dialogueContent0.words";"We're tracking multiple units, Commander. That has to be our target.";"We're tracking multiple units, Commander. That has to be our target.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList0.dialogueContent1.words";"Let's advance and get eyes on. Once we make contact, we need to strike quickly before the convoy escapes.";"Let's advance and get eyes on. Once we make contact, we need to strike quickly before the convoy escapes.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList0.dialogueContent2.words";"Then proceed to the evac point for pickup.";"Then proceed to the evac point for pickup.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList0.dialogueContent3.words";"Good luck, Commander.";"Good luck, Commander.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList1.dialogueContent0.words";"Well done, Commander. Drinks are on me.";"Well done, Commander. Drinks are on me.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList2.dialogueContent0.words";"That's a disappointing result, Commander.";"That's a disappointing result, Commander.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList3.dialogueContent0.words";"We have a lock on the target vehicles. They should be to your front. Engage and destroy, Commander.";"We have a lock on the target vehicles. They should be to your front. Engage and destroy, Commander.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList4.dialogueContent0.words";"That's got it, keep firing on those targets until they are neutralized. ";"That's got it, keep firing on those targets until they are neutralized. ";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList5.dialogueContent0.words";"Escorts are down, Commander. Good work. Let's wrap this up.";"Escorts are down, Commander. Good work. Let's wrap this up.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList6.dialogueContent0.words";"The convoy's almost escaped, Commander. You need to step it up or we're going to miss the window of opportunity.";"The convoy's almost escaped, Commander. You need to step it up or we're going to miss the window of opportunity.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList7.dialogueContent0.words";"One down. Keep engaging those threats and we'll be out of here. ";"One down. Keep engaging those threats and we'll be out of here. ";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList8.dialogueContent0.words";"The convoy is finished, now get what 'mechs you have to the extraction point and we'll pull you out. Move quickly.";"The convoy is finished, now get what 'mechs you have to the extraction point and we'll pull you out. Move quickly.";;;
"AmbushConvoy_CovertSupplies_Hard.dialogueList9.dialogueContent0.words";"Enemy Reinforcements, get ready for contact.";"Enemy Reinforcements, get ready for contact.";;;
