"Assassinate_BugHunt.contractName";"Bug Hunt";"Bug Hunt";;;
"Assassinate_BugHunt.dialogueList0.dialogueContent0.words";"This is the place, Commander. Meyer, can you see the target anywhere? We're blind on the ground.";"This is the place, Commander. Meyer, can you see the target anywhere? We're blind on the ground.";;;
"Assassinate_BugHunt.dialogueList0.dialogueContent1.words";"I've got an engine signature... here. Best I can do, boss.";"I've got an engine signature... here. Best I can do, boss.";;;
"Assassinate_BugHunt.dialogueList0.dialogueContent2.words";"The target might make a break for it once you engage, Commander. Be ready to intercept if they run.";"The target might make a break for it once you engage, Commander. Be ready to intercept if they run.";;;
"Assassinate_BugHunt.dialogueList1.dialogueContent0.words";"Mission accomplished. The terrorist is dead.";"Mission accomplished. The terrorist is dead.";;;
"Assassinate_BugHunt.dialogueList2.dialogueContent0.words";"Time to make a withdrawal. No way of pulling this one out of the fire.";"Time to make a withdrawal. No way of pulling this one out of the fire.";;;
"Assassinate_BugHunt.dialogueList3.dialogueContent0.words";"That's our target destroyed, Commander. Meyer, are you ready for the pickup?";"That's our target destroyed, Commander. Meyer, are you ready for the pickup?";;;
"Assassinate_BugHunt.dialogueList3.dialogueContent1.words";"I'm on station. Head for this LZ and I'll get you out of there.";"I'm on station. Head for this LZ and I'll get you out of there.";;;
"Assassinate_BugHunt.dialogueList4.dialogueContent0.words";"Readings indicate the ambushing units are out of commission. The employer will be pleased. ";"Readings indicate the ambushing units are out of commission. The employer will be pleased. ";;;
"Assassinate_BugHunt.dialogueList5.dialogueContent0.words";"That is our target, sustain fire on that unit!";"That is our target, sustain fire on that unit!";;;
"Assassinate_BugHunt.dialogueList6.dialogueContent0.words";"Sensors are showing enemy movement beyond our initial count. Be advised you might meet with increased resistance.";"Sensors are showing enemy movement beyond our initial count. Be advised you might meet with increased resistance.";;;
"Assassinate_BugHunt.dialogueList7.dialogueContent0.words";"Commander, the target is bugging out! Eliminate them before they escape.";"Commander, the target is bugging out! Eliminate them before they escape.";;;
"Assassinate_BugHunt.longDescription";"It's hard for me to overstate what a terrible idea it is to go into a mission with no terrain intel. There could be <i>anything</i> down there.";"It's hard for me to overstate what a terrible idea it is to go into a mission with no terrain intel. There could be <i>anything</i> down there.";;;
"Assassinate_BugHunt.objectiveList0.description";"The secondary objective to destroy an additional lance supporting the assassination target.";"The secondary objective to destroy an additional lance supporting the assassination target.";;;
"Assassinate_BugHunt.objectiveList0.title";"Destroy Supporting Enemy Forces";"Destroy Supporting Enemy Forces";;;
"Assassinate_BugHunt.objectiveList1.description";"Destroy enemy Ambushers before extraction";"Destroy enemy Ambushers before extraction";;;
"Assassinate_BugHunt.objectiveList1.title";"Eliminate Ambushers";"Eliminate Ambushers";;;
"Assassinate_BugHunt.objectiveList2.description";"The objective to destroy the Assassination Target.";"The objective to destroy the Assassination Target.";;;
"Assassinate_BugHunt.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Terrorist";"Destroy {TEAM_TAR.FactionDef.Demonym} Terrorist";;;
"Assassinate_BugHunt.objectiveList3.description";"Hidden Objective for AutoComplete, Destroy Assassination Lance";"Hidden Objective for AutoComplete, Destroy Assassination Lance";;;
"Assassinate_BugHunt.objectiveList3.title";"Destroy Assassination Lance Hidden Objective";"Destroy Assassination Lance Hidden Objective";;;
