"DefendBase_AllQuiet_NEW.contractName";"All Quiet On The Western Front";"All Quiet On The Western Front";;;
"DefendBase_AllQuiet_NEW.dialogueList0.dialogueContent0.words";"All right, Commander, we've been tasked with defending this installation.";"All right, Commander, we've been tasked with defending this installation.";;;
"DefendBase_AllQuiet_NEW.dialogueList0.dialogueContent1.words";"We have scattered reports of incoming hostiles from multiple directions.";"We have scattered reports of incoming hostiles from multiple directions.";;;
"DefendBase_AllQuiet_NEW.dialogueList0.dialogueContent2.words";"They'll be targeting the structures; intercept them before they bring any down. Good luck.";"They'll be targeting the structures; intercept them before they bring any down. Good luck.";;;
"DefendBase_AllQuiet_NEW.dialogueList1.dialogueContent0.words";"Excellent work, Commander - the hostiles are clear and our facility is secure.";"Excellent work, Commander - the hostiles are clear and our facility is secure.";;;
"DefendBase_AllQuiet_NEW.dialogueList2.dialogueContent0.words";"It's no good, Commander. Stand by for extraction and we'll get you out of there.";"It's no good, Commander. Stand by for extraction and we'll get you out of there.";;;
"DefendBase_AllQuiet_NEW.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";;;
"DefendBase_AllQuiet_NEW.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_AllQuiet_NEW.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_AllQuiet_NEW.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_AllQuiet_NEW.dialogueList7.dialogueContent0.words";"Commander, we're down to just one building left. If they bring it down, this mission is over.";"Commander, we're down to just one building left. If they bring it down, this mission is over.";;;
"DefendBase_AllQuiet_NEW.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_AllQuiet_NEW.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_AllQuiet_NEW.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_AllQuiet_NEW.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_AllQuiet_NEW.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_AllQuiet_NEW.longDescription";"The {TEAM_EMP.FactionDef.Demonym} facility must be running on incredibly narrow margins if they can't afford to protect it themselves. Anyway, Commander, this should be very straightforward.";"The {TEAM_EMP.FactionDef.Demonym} facility must be running on incredibly narrow margins if they can't afford to protect it themselves. Anyway, Commander, this should be very straightforward.";;;
"DefendBase_AllQuiet_NEW.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_AllQuiet_NEW.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_AllQuiet_NEW.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_AllQuiet_NEW.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_AllQuiet_NEW.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_AllQuiet_NEW.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_AllQuiet_NEW.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
