"DestroyBase_BrokenChain.contractName";"Broken Chain";"Broken Chain";;;
"DestroyBase_BrokenChain.dialogueList0.dialogueContent0.words";"To interrupt the supply chain, we'll need to take out several key structures.";"To interrupt the supply chain, we'll need to take out several key structures.";;;
"DestroyBase_BrokenChain.dialogueList0.dialogueContent1.words";"Move up to engage the target buildings. Looks like the base has its own defenses.";"Move up to engage the target buildings. Looks like the base has its own defenses.";;;
"DestroyBase_BrokenChain.dialogueList0.dialogueContent2.words";"Once you've engaged, expect enemy reinforcements. Oliveira out.";"Once you've engaged, expect enemy reinforcements. Oliveira out.";;;
"DestroyBase_BrokenChain.dialogueList1.dialogueContent0.words";"That's everything, Commander. I'll notify {TEAM_EMP.FactionDef.Name} that we've succeeded.";"That's everything, Commander. I'll notify {TEAM_EMP.FactionDef.Name} that we've succeeded.";;;
"DestroyBase_BrokenChain.dialogueList2.dialogueContent0.words";"Damn. We need to abort, Commander, before we suffer any more losses.";"Damn. We need to abort, Commander, before we suffer any more losses.";;;
"DestroyBase_BrokenChain.dialogueList3.dialogueContent0.words";"Incoming reinforcements, Commander, and it looks like they're sending in the big guns.";"Incoming reinforcements, Commander, and it looks like they're sending in the big guns.";;;
"DestroyBase_BrokenChain.dialogueList4.dialogueContent0.words";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";;;
"DestroyBase_BrokenChain.dialogueList5.dialogueContent0.words";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";;;
"DestroyBase_BrokenChain.dialogueList6.dialogueContent0.words";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";;;
"DestroyBase_BrokenChain.dialogueList7.dialogueContent0.words";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";;;
"DestroyBase_BrokenChain.longDescription";"Commander, {TEAM_EMP.FactionDef.Name} isn't kidding about this being an ambitious target. Expect serious, well-armed resistance. This will not be easy.";"Commander, {TEAM_EMP.FactionDef.Name} isn't kidding about this being an ambitious target. Expect serious, well-armed resistance. This will not be easy.";;;
"DestroyBase_BrokenChain.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Logistical Base";"Destroy {TEAM_TAR.FactionDef.Demonym} Logistical Base";;;
"DestroyBase_BrokenChain.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Base Garrison";"Destroy {TEAM_TAR.FactionDef.Demonym} Base Garrison";;;
"DestroyBase_BrokenChain.objectiveList2.description";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_BrokenChain.objectiveList2.title";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_BrokenChain.objectiveList3.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DestroyBase_BrokenChain.objectiveList4.title";"Get to the evac zone";"Get to the evac zone";;;
"DestroyBase_BrokenChain.shortDescription";"We have a very ambitious target in mind for you: a {TEAM_TAR.FactionDef.Demonym} logistical base. Thousands of tons of armor, ammunition, 'Mech parts, and personnel pass through this facility every day, all on its way to front-line fighting units. A strike at this base will seriously hinder the {TEAM_TAR.FactionDef.Demonym} forces, possibly even turning the tide of battle completely against them. It will be well-defended, and as soon as the assault begins the enemy will scramble reinforcements.";"We have a very ambitious target in mind for you: a {TEAM_TAR.FactionDef.Demonym} logistical base. Thousands of tons of armor, ammunition, 'Mech parts, and personnel pass through this facility every day, all on its way to front-line fighting units. A strike at this base will seriously hinder the {TEAM_TAR.FactionDef.Demonym} forces, possibly even turning the tide of battle completely against them. It will be well-defended, and as soon as the assault begins the enemy will scramble reinforcements.";;;
"DestroyBase_Contagion.contractName";"Contagion";"Contagion";;;
"DestroyBase_Contagion.dialogueList0.dialogueContent0.words";"Boss, there's a garbage signal blasting out of that base's transmitters. Want me to put it through?";"Boss, there's a garbage signal blasting out of that base's transmitters. Want me to put it through?";;;
"DestroyBase_Contagion.dialogueList0.dialogueContent1.words";"<i>NO!</i> Do <i>not</i> let it through! Commander, I suspect the signal contains some kind of virus that caused the facility to go offline.";"<i>NO!</i> Do <i>not</i> let it through! Commander, I suspect the signal contains some kind of virus that caused the facility to go offline.";;;
"DestroyBase_Contagion.dialogueList0.dialogueContent2.words";"That could also explain the satellite failures. Okay, people, don't answer any calls from outside our secure comms.";"That could also explain the satellite failures. Okay, people, don't answer any calls from outside our secure comms.";;;
"DestroyBase_Contagion.dialogueList0.dialogueContent3.words";"Commander, Darius: if I'm right, that base will need to be completely destroyed.";"Commander, Darius: if I'm right, that base will need to be completely destroyed.";;;
"DestroyBase_Contagion.dialogueList0.dialogueContent4.words";"Acknowledged, Dr. Murad. Commander, once you've dealt with the base, Meyer will be on station to pick you up at this LZ.";"Acknowledged, Dr. Murad. Commander, once you've dealt with the base, Meyer will be on station to pick you up at this LZ.";;;
"DestroyBase_Contagion.dialogueList1.dialogueContent0.words";"I wonder if {TEAM_TAR.FactionDef.ShortName} intended this to happen, or if they were themselves infected?";"I wonder if {TEAM_TAR.FactionDef.ShortName} intended this to happen, or if they were themselves infected?";;;
"DestroyBase_Contagion.dialogueList1.dialogueContent1.words";"As long as we've wiped out all traces of that signal, I'm not sure I care.";"As long as we've wiped out all traces of that signal, I'm not sure I care.";;;
"DestroyBase_Contagion.dialogueList1.dialogueContent2.words";"I'd be quite surprised if we never saw that signal again, Darius. It's like bedbugs: the sort of thing that you never quite eradicate.";"I'd be quite surprised if we never saw that signal again, Darius. It's like bedbugs: the sort of thing that you never quite eradicate.";;;
"DestroyBase_Contagion.dialogueList2.dialogueContent0.words";"We need to pull out and alert our employers about this situation. Containing this signal is their problem, now.";"We need to pull out and alert our employers about this situation. Containing this signal is their problem, now.";;;
"DestroyBase_Contagion.dialogueList3.dialogueContent0.words";"Picking up some 'Mech signatures. Looks like {TEAM_TAR.FactionDef.Demonym} livery.";"Picking up some 'Mech signatures. Looks like {TEAM_TAR.FactionDef.Demonym} livery.";;;
"DestroyBase_Contagion.dialogueList3.dialogueContent1.words";"Commander, with comms switched off, I have no idea if the {TEAM_TAR.FactionDef.Demonym} forces are part of an attack, or additional victims of the signal.";"Commander, with comms switched off, I have no idea if the {TEAM_TAR.FactionDef.Demonym} forces are part of an attack, or additional victims of the signal.";;;
"DestroyBase_Contagion.dialogueList3.dialogueContent2.words";"Listen, XO, all due respect, but they're shooting at our damn 'Mechs. Who cares why? Waste 'em.";"Listen, XO, all due respect, but they're shooting at our damn 'Mechs. Who cares why? Waste 'em.";;;
"DestroyBase_Contagion.dialogueList3.dialogueContent3.words";"As odd as this sounds... I agree with Mr. Virtanen. Anything that was exposed to that signal needs to be completely destroyed.";"As odd as this sounds... I agree with Mr. Virtanen. Anything that was exposed to that signal needs to be completely destroyed.";;;
"DestroyBase_Contagion.dialogueList4.dialogueContent0.words";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";;;
"DestroyBase_Contagion.dialogueList5.dialogueContent0.words";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";;;
"DestroyBase_Contagion.dialogueList6.dialogueContent0.words";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";;;
"DestroyBase_Contagion.dialogueList7.dialogueContent0.words";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";;;
"DestroyBase_Contagion.longDescription";"I don't like the sound of this, Commander. No satellite coverage means no topographical intel. We're going into an unknown situation without a map.";"I don't like the sound of this, Commander. No satellite coverage means no topographical intel. We're going into an unknown situation without a map.";;;
"DestroyBase_Contagion.objectiveList0.description";"The objective to destroy the targeted buildings.";"The objective to destroy the targeted buildings.";;;
"DestroyBase_Contagion.objectiveList0.title";"Destroy the Facility";"Destroy the Facility";;;
"DestroyBase_Contagion.objectiveList1.description";"The primary objective to destroy the garrison / defenders of the base.";"The primary objective to destroy the garrison / defenders of the base.";;;
"DestroyBase_Contagion.objectiveList1.title";"Destroy Facility Defenders";"Destroy Facility Defenders";;;
"DestroyBase_Contagion.objectiveList2.description";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_Contagion.objectiveList2.title";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_Contagion.objectiveList3.description";"The objective to eliminate enemy reinforcements who attack.";"The objective to eliminate enemy reinforcements who attack.";;;
"DestroyBase_Contagion.objectiveList3.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DestroyBase_Contagion.objectiveList4.description";"The objective for the player to extract their units.";"The objective for the player to extract their units.";;;
"DestroyBase_Contagion.objectiveList4.title";"Get to the evac zone";"Get to the evac zone";;;
"DestroyBase_Contagion.shortDescription";"We've just lost contact with one of our facilities, Commander, and we need your help. Earlier today, our facility here on {TGT_SYSTEM.name} received what they believed was a normal data transmission. It was badly garbled, and when they requested it be re-sent, they got no response. Shortly thereafter the base systems began to malfunction, and then we lost contact with both the base and the synchronous satellites covering that region. We'd like you to investigate the facility.";"We've just lost contact with one of our facilities, Commander, and we need your help. Earlier today, our facility here on {TGT_SYSTEM.name} received what they believed was a normal data transmission. It was badly garbled, and when they requested it be re-sent, they got no response. Shortly thereafter the base systems began to malfunction, and then we lost contact with both the base and the synchronous satellites covering that region. We'd like you to investigate the facility.";;;
"DestroyBase_Eviction_Hard.contractName";"Territorial Claims";"Territorial Claims";;;
"DestroyBase_Eviction_Hard.dialogueList0.dialogueContent0.words";"Your target is the nearby {TEAM_TAR.FactionDef.Demonym} base.";"Your target is the nearby {TEAM_TAR.FactionDef.Demonym} base.";;;
"DestroyBase_Eviction_Hard.dialogueList0.dialogueContent1.words";"Assault the base and destroy enough of it to force {TEAM_TAR.FactionDef.ShortName} to abandon the location.";"Assault the base and destroy enough of it to force {TEAM_TAR.FactionDef.ShortName} to abandon the location.";;;
"DestroyBase_Eviction_Hard.dialogueList0.dialogueContent2.words";"We should expect strong opposition on this one. Be wary, Commander. Oliveira out.";"We should expect strong opposition on this one. Be wary, Commander. Oliveira out.";;;
"DestroyBase_Eviction_Hard.dialogueList1.dialogueContent0.words";"Mission successful, Commander. I'll see you on the Argo.";"Mission successful, Commander. I'll see you on the Argo.";;;
"DestroyBase_Eviction_Hard.dialogueList2.dialogueContent0.words";"You'd better return to the Argo, Commander, so we can sort this out.";"You'd better return to the Argo, Commander, so we can sort this out.";;;
"DestroyBase_Eviction_Hard.dialogueList3.dialogueContent0.words";"There's that strong opposition, Commander. Watch your position and don't get flanked.";"There's that strong opposition, Commander. Watch your position and don't get flanked.";;;
"DestroyBase_Eviction_Hard.dialogueList4.dialogueContent0.words";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";"We've demolished the objective buildings. No need to loiter, get to the evac zone. ";;;
"DestroyBase_Eviction_Hard.dialogueList5.dialogueContent0.words";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";"Good shots, Commander! You scored a solid hit on one of the target structures, keep it up. ";;;
"DestroyBase_Eviction_Hard.dialogueList6.dialogueContent0.words";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";"Target building destroyed, good work commander, stay at it and we'll be done in no time. ";;;
"DestroyBase_Eviction_Hard.dialogueList7.dialogueContent0.words";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";"Bkt_KillConfirmed: The garrison is destroyed. Good Work.";;;
"DestroyBase_Eviction_Hard.longDescription";"We should expect heavy resistance; {TEAM_EMP.FactionDef.Name} isn't saying what's in that facility, but whatever it is has them riled up.";"We should expect heavy resistance; {TEAM_EMP.FactionDef.Name} isn't saying what's in that facility, but whatever it is has them riled up.";;;
"DestroyBase_Eviction_Hard.objectiveList0.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Facility";"Destroy the {TEAM_TAR.FactionDef.Demonym} Facility";;;
"DestroyBase_Eviction_Hard.objectiveList1.title";"Destroy Base Garrison";"Destroy Base Garrison";;;
"DestroyBase_Eviction_Hard.objectiveList2.description";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_Eviction_Hard.objectiveList2.title";"HIDDEN Objective: Destroy Base Turrets";"HIDDEN Objective: Destroy Base Turrets";;;
"DestroyBase_Eviction_Hard.objectiveList3.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DestroyBase_Eviction_Hard.objectiveList4.title";"Get to the evac zone";"Get to the evac zone";;;
