"Rescue_BiologicalSample.contractName";"Biological Sample";"Biological Sample";;;
"Rescue_BiologicalSample.dialogueList0.dialogueContent0.words";"Your target is a {TEAM_TAR.FactionDef.Demonym} research facility. You'll be recovering {TEAM_EMP.FactionDef.Demonym} operatives carrying biological sample cases.";"Your target is a {TEAM_TAR.FactionDef.Demonym} research facility. You'll be recovering {TEAM_EMP.FactionDef.Demonym} operatives carrying biological sample cases.";;;
"Rescue_BiologicalSample.dialogueList0.dialogueContent1.words";"They're ready for extraction when your units reach the facility.";"They're ready for extraction when your units reach the facility.";;;
"Rescue_BiologicalSample.dialogueList0.dialogueContent2.words";"Pick them up and get them to the evac point.";"Pick them up and get them to the evac point.";;;
"Rescue_BiologicalSample.dialogueList0.dialogueContent3.words";"Best of luck, Commander.";"Best of luck, Commander.";;;
"Rescue_BiologicalSample.dialogueList1.dialogueContent0.words";"Mission complete, Commander. Come on back.";"Mission complete, Commander. Come on back.";;;
"Rescue_BiologicalSample.dialogueList2.dialogueContent0.words";"{TEAM_EMP.FactionDef.Name} isn't going to be happy, Commander. Come back and we'll go over what happened.";"{TEAM_EMP.FactionDef.Name} isn't going to be happy, Commander. Come back and we'll go over what happened.";;;
"Rescue_BiologicalSample.dialogueList3.dialogueContent0.words";"You're in the right area; hold position until the samples are aboard.";"You're in the right area; hold position until the samples are aboard.";;;
"Rescue_BiologicalSample.dialogueList4.dialogueContent0.words";"[GENERIC VO] The asset is sustaining damage, Commander!";"[GENERIC VO] The asset is sustaining damage, Commander!";;;
"Rescue_BiologicalSample.dialogueList5.dialogueContent0.words";"[GENERIC VO] The secondary asset is sustaining damage, Commander!";"[GENERIC VO] The secondary asset is sustaining damage, Commander!";;;
"Rescue_BiologicalSample.dialogueList6.dialogueContent0.words";"[GENERIC VO] The asset has been recovered, Commander. Good work. ";"[GENERIC VO] The asset has been recovered, Commander. Good work. ";;;
"Rescue_BiologicalSample.dialogueList7.dialogueContent0.words";"[GENERIC VO] The secondary asset has been recovered, Commander.";"[GENERIC VO] The secondary asset has been recovered, Commander.";;;
"Rescue_BiologicalSample.dialogueList8.dialogueContent0.words";"The operatives are lost, Commander. For now, focus on getting the sample cases out of there.";"The operatives are lost, Commander. For now, focus on getting the sample cases out of there.";;;
"Rescue_BiologicalSample.longDescription";"Commander, {TEAM_EMP.FactionDef.Name} isn't kidding about that non-tampering clause. The contract includes twenty pages of protocol for handling the sample cases we'll be recovering.";"Commander, {TEAM_EMP.FactionDef.Name} isn't kidding about that non-tampering clause. The contract includes twenty pages of protocol for handling the sample cases we'll be recovering.";;;
"Rescue_BiologicalSample.objectiveList0.title";"Secure the Facility to collect the sample cases";"Secure the Facility to collect the sample cases";;;
"Rescue_BiologicalSample.objectiveList1.description";"UNUSED KILL OBJECTIVE for AutoComplete";"UNUSED KILL OBJECTIVE for AutoComplete";;;
"Rescue_BiologicalSample.objectiveList1.title";"Hidden KILL OBJECTIVE for OpFor1";"Hidden KILL OBJECTIVE for OpFor1";;;
"Rescue_BiologicalSample.objectiveList2.title";"Get to the evac zone";"Get to the evac zone";;;
"Rescue_BiologicalSample.objectiveList3.title";"The 'Mech carrying the sample cases must survive";"The 'Mech carrying the sample cases must survive";;;
"Rescue_BiologicalSample.objectiveList4.title";"Secure the Secondary Facility to rescue the operatives";"Secure the Secondary Facility to rescue the operatives";;;
"Rescue_BiologicalSample.objectiveList5.description";"Hidden KILL OBJECTIVE for autocomplete of mission";"Hidden KILL OBJECTIVE for autocomplete of mission";;;
"Rescue_BiologicalSample.objectiveList5.title";"Hidden KILL OBJECTIVE for OpFor2";"Hidden KILL OBJECTIVE for OpFor2";;;
"Rescue_BiologicalSample.objectiveList6.title";"The 'Mech carrying the operatives must survive";"The 'Mech carrying the operatives must survive";;;
"Rescue_BiologicalSample.shortDescription";"We need you to recover our operatives from inside a {TEAM_TAR.FactionDef.Demonym} research facility. They will be carrying highly sensitive scientific materials which must be returned to us. These materials are of a biological nature, and must not be tampered with. Opening or tampering with the materials will be considered a breach of contract.";"We need you to recover our operatives from inside a {TEAM_TAR.FactionDef.Demonym} research facility. They will be carrying highly sensitive scientific materials which must be returned to us. These materials are of a biological nature, and must not be tampered with. Opening or tampering with the materials will be considered a breach of contract.";;;
"Rescue_BrilliantMinds.contractName";"Brilliant Minds";"Brilliant Minds";;;
"Rescue_BrilliantMinds.dialogueList0.dialogueContent0.words";"This is an in-and-out mission. Locate the scientist and retrieve her.";"This is an in-and-out mission. Locate the scientist and retrieve her.";;;
"Rescue_BrilliantMinds.dialogueList0.dialogueContent1.words";"Get to the research facility and take control with one of your 'Mechs.";"Get to the research facility and take control with one of your 'Mechs.";;;
"Rescue_BrilliantMinds.dialogueList0.dialogueContent2.words";"Once she's aboard, head to the marked evac zone, where Sumire will pick you up in the Leopard.";"Once she's aboard, head to the marked evac zone, where Sumire will pick you up in the Leopard.";;;
"Rescue_BrilliantMinds.dialogueList0.dialogueContent3.words";"Best of luck, Commander. Oliveira out.";"Best of luck, Commander. Oliveira out.";;;
"Rescue_BrilliantMinds.dialogueList1.dialogueContent0.words";"Excellent work, commander. The {TEAM_EMP.FactionDef.Demonym} research can continue.";"Excellent work, commander. The {TEAM_EMP.FactionDef.Demonym} research can continue.";;;
"Rescue_BrilliantMinds.dialogueList2.dialogueContent0.words";"I'm scrubbing the mission. There's nothing more you can do here.";"I'm scrubbing the mission. There's nothing more you can do here.";;;
"Rescue_BrilliantMinds.dialogueList3.dialogueContent0.words";"You're in the area. Hold position and get the scientist safely into a 'Mech.";"You're in the area. Hold position and get the scientist safely into a 'Mech.";;;
