"SimpleBattle_AFavorToRegret.contractName";"A Favor to Regret";"A Favor to Regret";;;
"SimpleBattle_AFavorToRegret.dialogueList0.dialogueContent0.words";"Enemies detected in the area, Commander.";"Enemies detected in the area, Commander.";;;
"SimpleBattle_AFavorToRegret.dialogueList0.dialogueContent1.words";"Intel reports that {TEAM_TAR.FactionDef.ShortName} sent a pretty serious lance of 'Mechs.";"Intel reports that {TEAM_TAR.FactionDef.ShortName} sent a pretty serious lance of 'Mechs.";;;
"SimpleBattle_AFavorToRegret.dialogueList0.dialogueContent2.words";"Also keep an eye out for harassing units from the locals.";"Also keep an eye out for harassing units from the locals.";;;
"SimpleBattle_AFavorToRegret.dialogueList1.dialogueContent0.words";"That should blunt any enthusiasm for further attacks into {TEAM_EMP.FactionDef.Demonym} territory.";"That should blunt any enthusiasm for further attacks into {TEAM_EMP.FactionDef.Demonym} territory.";;;
"SimpleBattle_AFavorToRegret.dialogueList2.dialogueContent0.words";"That was unfortunate; those {TEAM_TAR.FactionDef.Demonym} 'Mechs were out for blood.";"That was unfortunate; those {TEAM_TAR.FactionDef.Demonym} 'Mechs were out for blood.";;;
"SimpleBattle_AFavorToRegret.dialogueList3.dialogueContent0.words";"A primary target is damaged, Commander! Keep it up!";"A primary target is damaged, Commander! Keep it up!";;;
"SimpleBattle_AFavorToRegret.longDescription";"Commander, this seems like a rough fight. We'll be the shield that blocks the head of the spear. If any support units do make a showing, only engage if you're in a good position after dealing with the 'Mechs.";"Commander, this seems like a rough fight. We'll be the shield that blocks the head of the spear. If any support units do make a showing, only engage if you're in a good position after dealing with the 'Mechs.";;;
"SimpleBattle_AFavorToRegret.objectiveList0.title";"Destroy Enemy Lance";"Destroy Enemy Lance";;;
"SimpleBattle_AFavorToRegret.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"SimpleBattle_AFavorToRegret.shortDescription";"A high tonnage {TEAM_TAR.FactionDef.Demonym} lance will shortly make planetfall, at the behest of a group of petty nobles and commercial interests. Intel suggests this is the vanguard of a larger force of conventional tanks and infantry, and they're scouting the region for a suitable landing site. We need a competent mercenary company to intercept the 'Mechs and stop the invasion before it gets underway. If their planet-side allies send any support, you are to wipe them out as well.";"A high tonnage {TEAM_TAR.FactionDef.Demonym} lance will shortly make planetfall, at the behest of a group of petty nobles and commercial interests. Intel suggests this is the vanguard of a larger force of conventional tanks and infantry, and they're scouting the region for a suitable landing site. We need a competent mercenary company to intercept the 'Mechs and stop the invasion before it gets underway. If their planet-side allies send any support, you are to wipe them out as well.";;;
"SimpleBattle_FlushingThemOut.contractName";"Flushing Them Out";"Flushing Them Out";;;
"SimpleBattle_FlushingThemOut.dialogueList0.dialogueContent0.words";"Let's keep our eyes peeled, commander. This feels like a trap.";"Let's keep our eyes peeled, commander. This feels like a trap.";;;
"SimpleBattle_FlushingThemOut.dialogueList0.dialogueContent1.words";"We've got some unexpected readings from long-range surveillance, so we might have company.";"We've got some unexpected readings from long-range surveillance, so we might have company.";;;
"SimpleBattle_FlushingThemOut.dialogueList0.dialogueContent2.words";"Press the attack, but don't leave yourself exposed. Oliveira out.";"Press the attack, but don't leave yourself exposed. Oliveira out.";;;
"SimpleBattle_FlushingThemOut.dialogueList1.dialogueContent0.words";"Fantastic work, commander. I'll signal our employers.";"Fantastic work, commander. I'll signal our employers.";;;
"SimpleBattle_FlushingThemOut.dialogueList2.dialogueContent0.words";"Well, that certainly could have gone better.";"Well, that certainly could have gone better.";;;
"SimpleBattle_FlushingThemOut.dialogueList3.dialogueContent0.words";"A primary target is damaged, Commander! Keep it up!";"A primary target is damaged, Commander! Keep it up!";;;
"SimpleBattle_FlushingThemOut.longDescription";"If these guys are that hard to track down, they must be pretty competent. Expect a tough fight, Commander.";"If these guys are that hard to track down, they must be pretty competent. Expect a tough fight, Commander.";;;
"SimpleBattle_FlushingThemOut.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Units";"Destroy {TEAM_TAR.FactionDef.Demonym} Units";;;
"SimpleBattle_FlushingThemOut.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"SimpleBattle_FlushingThemOut.shortDescription";"We believe that {TEAM_TAR.FactionDef.Name} has landed an elite lance on {TGT_SYSTEM.Name}. Its continued presence inside contested territory is unacceptable, and threatens to distract our own forces into trying to track it down and engage it. We need you to locate and eliminate this lance.";"We believe that {TEAM_TAR.FactionDef.Name} has landed an elite lance on {TGT_SYSTEM.Name}. Its continued presence inside contested territory is unacceptable, and threatens to distract our own forces into trying to track it down and engage it. We need you to locate and eliminate this lance.";;;
"SimpleBattle_HardContact.contractName";"Hard Contact";"Hard Contact";;;
"SimpleBattle_HardContact.dialogueList0.dialogueContent0.words";"We're approaching the enemy drop site, Commander. Eyes peeled.";"We're approaching the enemy drop site, Commander. Eyes peeled.";;;
"SimpleBattle_HardContact.dialogueList0.dialogueContent1.words";"Take care moving forward, as we are expecting heavy resistance.";"Take care moving forward, as we are expecting heavy resistance.";;;
"SimpleBattle_HardContact.dialogueList0.dialogueContent2.words";"Don't take this lightly. They know we're coming. Oliveira out.";"Don't take this lightly. They know we're coming. Oliveira out.";;;
"SimpleBattle_HardContact.dialogueList1.dialogueContent0.words";"Superb, Commander. My scopes are clear; all primary targets eliminated.";"Superb, Commander. My scopes are clear; all primary targets eliminated.";;;
"SimpleBattle_HardContact.dialogueList2.dialogueContent0.words";"I'm pulling you out. We can't get this one done. Live to fight another day.";"I'm pulling you out. We can't get this one done. Live to fight another day.";;;
"SimpleBattle_HardContact.dialogueList3.dialogueContent0.words";"A primary target is damaged, Commander! Keep it up!";"A primary target is damaged, Commander! Keep it up!";;;
"SimpleBattle_HardContact.longDescription";"Buckle up, Commander. Two heavily-armed lances? This is going to be tough.";"Buckle up, Commander. Two heavily-armed lances? This is going to be tough.";;;
"SimpleBattle_HardContact.objectiveList0.title";"Destroy Enemy Units";"Destroy Enemy Units";;;
"SimpleBattle_HardContact.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
