"DesignMaskBiomeBadlandsParched.Description.Details";"Units in the Badlands sink only 85% of their normal Heat. Reduces everyones visibility.";"Охлаждение в бесплодных землях работает только на 85%. Видимость уменьшена для всех.";;"#000000";"#FFFFFF"
"DesignMaskBiomeBadlandsParched.Description.Name";"BADLANDS BIOME";"БЕСПЛОДНЫЕ ЗЕМЛИ";;"#000000";"#FFFFFF"
"DesignMaskBiomeDesertParched.Description.Details";"Units in the Desert sink only 85% of their normal Heat. Reduces everyones visibility.";"Охлаждение в пустыне работает только на 85%. Видимость уменьшена для всех.";;"#000000";"#FFFFFF"
"DesignMaskBiomeDesertParched.Description.Name";"DESERT BIOME";"ПУСТЫНЯ";;"#000000";"#FFFFFF"
"DesignMaskBiomeHighlandsFall.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeHighlandsFall.Description.Name";"HIGHLANDS BIOME";"ВЫСОКОГОРЬЕ";;"#000000";"#FFFFFF"
"DesignMaskBiomeHighlandsSpring.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeHighlandsSpring.Description.Name";"HIGHLANDS BIOME";"ВЫСОКОГОРЬЕ";;"#000000";"#FFFFFF"
"DesignMaskBiomeJungleTropical.Description.Details";"Tropical biomes increase a unit's Heat-sinking ability by 10%. Thick moisture clinging to exhaust vents improves efficiency. Reduces everyone detection ability.";"Тропические биомы увеличивают охлаждение на 10%. Влага оседает на тепловыводящих отверстиях, повышая их эффективность. У всех снижена дальность обнаружения.";;"#000000";"#FFFFFF"
"DesignMaskBiomeJungleTropical.Description.Name";"TROPICAL BIOME";"ТРОПИКИ";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsCoastal.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsCoastal.Description.Name";"LOWLANDS BIOME";"НИЗИНЫ";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsFall.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsFall.Description.Name";"LOWLANDS BIOME";"НИЗИНЫ";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsSpring.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeLowlandsSpring.Description.Name";"LOWLANDS BIOME";"НИЗИНЫ";;"#000000";"#FFFFFF"
"DesignMaskBiomeLunarVacuum.Description.Details";"Units in a vacuum sink only 65% of their normal Heat. Drastically improves everyones detection.";"Охлаждение в вакууме работает только на 65%. Усилено обнаружение целей.";;"#000000";"#FFFFFF"
"DesignMaskBiomeLunarVacuum.Description.Name";"LUNAR BIOME";"ЛУННЫЙ";;"#000000";"#FFFFFF"
"DesignMaskBiomeMartianVacuum.Description.Details";"Units in a partial vacuum sink only 75% of their normal Heat. Detection is made easier.";"Охлаждение в разряженном воздухе работает только на 75%. Обнаружение целей улучшено.";;"#000000";"#FFFFFF"
"DesignMaskBiomeMartianVacuum.Description.Name";"MARTIAN BIOME";"МАРСИАНСКИЙ";;"#000000";"#FFFFFF"
"DesignMaskBiomePolarFrozen.Description.Details";"Polar biomes increase a unit's Heat-sinking ability by 20%.";"Полярные биомы усиляют охлаждение на 20%.";;"#000000";"#FFFFFF"
"DesignMaskBiomePolarFrozen.Description.Name";"POLAR BIOME";"ПОЛЯРНЫЙ";;"#000000";"#FFFFFF"
"DesignMaskBiomeTundraFrozen.Description.Details";"Tundra biomes increase a unit's Heat-sinking ability by 15%.";"Биомы тундры усиляют охлаждение на 15%.";;"#000000";"#FFFFFF"
"DesignMaskBiomeTundraFrozen.Description.Name";"TUNDRA BIOME";"ТУНДРА";;"#000000";"#FFFFFF"
"DesignMaskBiomeUrbanHighTech.Description.Details";"This design mask has no effect.";"Без эффекта.";;"#000000";"#FFFFFF"
"DesignMaskBiomeUrbanHighTech.Description.Name";"URBAN BIOME";"ГОРОД";;"#000000";"#FFFFFF"
"DesignMaskBurnedForest.Description.Details";"This is an ecological disaster, shame on you. Reduces Movement and Stability";"Это экологическая катастрофа, как вам не стыдно! Затруднены передвижение и устойчивость.";;"#000000";"#FFFFFF"
"DesignMaskBurnedForest.Description.Name";"BURNED FOREST";"СГОРЕВШИЙ ЛЕС";;"#000000";"#FFFFFF"
"DesignMaskBurningForest.Description.Details";"Burning Forests generate Heat, while thick smoke makes it harder to see and be seen.";"Пылающие леса выделяют тепло, а густой дым затрудняет обзор.";;"#000000";"#FFFFFF"
"DesignMaskBurningForest.Description.Name";"BURNING FOREST";"ГОРЯЩИЙ ЛЕС";;"#000000";"#FFFFFF"
"DesignMaskBurningTerrain.Description.Details";"Units on standing on and moving across burning terrain sink less heat.";"Юниты, стоящие на горящей местности и передвигающиеся по ней, хуже охлаждаются.";;"#000000";"#FFFFFF"
"DesignMaskBurningTerrain.Description.Name";"FIRE";"ПОЖАР";;"#000000";"#FFFFFF"
"DesignMaskCoolantPool.Description.Details";"Coolant Pools increase heat venting for units standing in within (-25 Heat). Units passing through Coolant Pools gain the Coolant Splash Effect (-15 Heat per turn for 2 turns).";"Разлитая охлаждающая жидкость увеличивает отвод тепла у любого, находящегося внутри (-25 тепла). Юниты, проходящие по хладагенту, получают охлаждающий эффект (-15 тепла за ход в течение 2 ходов).";;"#000000";"#FFFFFF"
