itemCollection_loot_testevent_HM,"Rare 'Mech","Rare 'Mech","This cache contains a single rare 'Mech."
mechdef_crossbow_CRS-X,Mech,1,1
mechdef_cattlemaster_CTL-3R3,Mech,1,1
mechdef_dervish_DV-1S,Mech,1,1
mechdef_firebee_FRB-1E,Mech,1,1
mechdef_hector_HOR-1B,Mech,1,1
mechdef_wasp_WSP-1,Mech,1,1
mechdef_icarus_ICR-1X,Mech,1,1
mechdef_hunchback_HBK-1G,Mech,1,1
mechdef_clint_CLNT-1-2R,Mech,1,1
Weapon_Autocannon_AC_10_Quicsell,Weapon,1,1
Weapon_Laser_Tronel_Large,Weapon,1,1
Weapon_Laser_Chemical_Large,Weapon,1,1
Weapon_Laser_Chemical_Medium,Weapon,1,1
Weapon_Rifle_Heavy,Weapon,1,1
Weapon_Rifle_Light,Weapon,1,1
Weapon_Rifle_Medium,Weapon,1,1
Weapon_Rotary_Rifle_Heavy,Weapon,1,1
Weapon_Rotary_Rifle_Light,Weapon,1,1
Weapon_Rotary_Rifle_Medium,Weapon,1,1
Weapon_LRM_Thunderbolt_10_x4,Weapon,1,1
Weapon_LRM_Thunderbolt_10_Oneshot,Weapon,1,1
Weapon_Laser_Agra_Medium,Weapon,1,1
BoltOn_Weapon_Rocket_Chaff,Weapon,1,1
Weapon_Rocket_Tandem_5,Weapon,1,1
Weapon_Rocket_Tandem_10,Weapon,1,1
Weapon_Rocket_Tandem_15,Weapon,1,1
Weapon_Rocket_Tandem_20,Weapon,1,1
Weapon_Rocket_Inferno_5,Weapon,1,1
Weapon_Rocket_Inferno_10,Weapon,1,1
Weapon_Rocket_Inferno_20,Weapon,1,1
Weapon_Rocket_Inferno_15,Weapon,1,1
Weapon_Rocket_Pack_5,Weapon,1,1
Weapon_Rocket_Pack_10,Weapon,1,1
Weapon_Rocket_Pack_15,Weapon,1,1
Weapon_Rocket_Pack_20,Weapon,1,1
HandHeld_Weapon_Industrial_ArcWelder,Weapon,1,1
HandHeld_Weapon_Industrial_Chainsaw,Weapon,1,1
HandHeld_Weapon_Industrial_Cultivator,Weapon,1,1
HandHeld_Weapon_Industrial_JackHammer,Weapon,1,1
HandHeld_Weapon_Industrial_LaserCutter,Weapon,1,1
HandHeld_Weapon_Industrial_MiningDrill,Weapon,1,1
HandHeld_Weapon_Industrial_PlasmaTorch,Weapon,1,1
HandHeld_Weapon_WreckingBall,Weapon,1,1
Special_AddOn_Aftermarket_Stealth,Upgrade,1,1
Gear_ECM_AftermarketEWS,Upgrade,1,1
Gear_Cockpit_Small,Upgrade,1,1
Gear_Cockpit_SpikedHelmet,Upgrade,1,1
Gear_FCS_AdvancedTC_Pirate,Upgrade,1,1
Gear_Actuator_SpikedBoot,Upgrade,1,1
Gear_Actuator_SpikedFist,Upgrade,1,1
Weapon_TAG,Weapon,1,1
Weapon_NARC,Weapon,1,1
Weapon_Plasma_Cannon,Weapon,1,1
Ammo_AmmunitionBox_Plasma,AmmunitionBox,1,1
Ammo_AmmunitionBox_Narc_Beacon,AmmunitionBox,1,1
Ammo_AmmunitionBox_LRM_SAM,AmmunitionBox,1,1
Ammo_AmmunitionBox_SRM_Inferno,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Medium,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Medium_APFSDS,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Light,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Light_APFSDS,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Heavy,AmmunitionBox,1,1
Ammo_AmmunitionBox_Rifle_Heavy_APFSDS,AmmunitionBox,1,1
Ammo_AmmunitionBox_Laser_Chemical_Large,AmmunitionBox,1,1
Ammo_AmmunitionBox_Laser_Chemical_Medium,AmmunitionBox,1,1
Ammo_AmmunitionBox_Laser_Chemical_Small,AmmunitionBox,1,1
Ammo_AmmunitionBox_Laser_Chemical_Small_Half,AmmunitionBox,1,1
