Starts:                                  RAT fixed?

Core:
	
Aurigan                                  No
Auxmite                                  No
BA Platoon                               No
Bradfords and Bulldogs                   N/A
Castille                                 No
Chainelaine                              No
Circinus                                 No
Clans                                    No
Clan BA                                  No
Comstar                                  No
Davion                                   No
Delphi                                   No
Elysia                                   No
Farmers Uprising                         N/A
Hanse                                    No
Hells Horses                             No
Jarnfolk                                 No
Kurita                                   No
LAM                                      N/A
Liao                                     No
Lothian                                  No
Illyrian                                 No
Magistracy                               No
Marian                                   No
Marik                                    No
Mercenary                                No
Militia                                  N/A
Oberon                                   No
Outworld                                 No
Primitive Mechs                          N/A
Primitive Tanks                          N/A
Primitive Clan                           N/A
Royal Mechs                              N/A
Rasalhague                               No
Recon Lance                              N/A
Rusty Dan                                N/A
Society                                  No (? Move to jihad map patchdef?)
Solaris                                  No
St Ives                                  No
Steiner                                  No
Tanks (IS)                               N/A
Taurian                                  No
The Dumps                                N/A
Tortuga                                  No
Urbie                                    N/A
Valkyrate                                No
VTOL                                     N/A
WOB                                      No

2765 ISM: 
Amaris Empire                            Yes (RW Line unit list)
Rimworlds Republic                       Yes (RW republican guard list)
SLDF                                     Yes
Terran Hegemony                          Yes (First Succession War/Terran Hegemony)[2xMm,2xLm]

Axumite                                  Yes (Custom Primitive 2765-2785)[1xMm,2xHv,3xLv]
Castile                                  Yes (Custom Tank/Carrier 2765-85)[3xHv,1xMv,2xLv]
Davion                                   Yes (FR 2765/AvalonHussars)[2xMm,2xLm]
Delphi                                   Yes (Custom Primitive 2765-2785)[1xMm,2xHv,3xLv]
Illyrian                                 Yes (1 Steiner/FWL B-list per category)
Jarnfolk                                 Yes (Custom Primitive 2765-2785)[1xMm,2xHv,3xLv]
Kurita                                   Yes (FR 2765/GaledonRegulars)[2xMm,2xLm]
LAM                                      N/A
Liao                                     Yes (FR 2765/CapellanHuassars)[2xMm,2xLm]
Magistracy                               Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Marik                                    Yes (FR 2765/FusiliersOriente)[2xMm,2xLm]
Mercenary                                No
Outworld                                 Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Solaris                                  No (Probably not a time appropriate start)
Steiner                                  Yes (FR 2765/LyranRegulars)[2xMm,2xLm]
Tanks                                    N/A
Taurian                                  Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Tortuga                                  No (Need to work out what pirate stuff fits the era)
Urbie                                    N/A
VTOL                                     N/A

ISM 2785
Finmark Free Republic                    Yes (using RWR guard list)
SLDF in Exile                            Yes (using Pentagon Powers lists)
Umayyad Caliphate                        Yes (same as above)

Axumite                                  Yes (Custom Primitive 2765-2785)[1xMm,2xHv,3xLv]
Castile                                  Yes (Custom Tank/Carrier 2765-85)[3xHv,1xMv,2xLv]
Davion                                   Yes (First Succession War)[2xMm,2xLm]
Delphi                                   Yes (Custom Primitive 2765-2785 Lists)[1xMm,2xHv,3xLv]
Illyrian                                 Yes (1 Steiner/FWL B-list per category)[2xMm,2xLm]
Jarnfolk                                 Yes (Custom Primitive 2765-2785 Lists)[1xMm,2xHv,3xLv]
Kurita                                   Yes (First Succession War)[2xMm,2xLm]
LAM                                      N/A
Liao                                     Yes (First Succession War)[2xMm,2xLm]
Magistracy                               Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Marik                                    Yes (First Succession War)[2xMm,2xLm]
Mercenary                                No (On hold for now)
Outworld                                 Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Solaris                                  No (Probably not a time appropriate start)
Steiner                                  Yes (First Succession War)[2xMm,2xLm]
Tanks                                    N/A
Taurian                                  Yes (First Succession War/MajorPeriphery)[2xMm,2xLm]
Tortuga                                  No (Need to work out what pirate stuff fits the era)
Urbie                                    N/A
VTOL                                     N/A

3075 ISM     (PATCHDEF NOT UPDATED FOR BELOW, CSV's CREATED FOR APPLICABLE)
Kittery Prefecture                       No - No applicable RAT that pairs with spawn pool/MUL

Auxmite                                  Yes - (Custom Primitive 2765-2785 Lists)[1xMm,2xHv,3xLv]
BA Platoon                               No
Bradfords and Bulldogs                   N/A
Chainelaine                              Yes - (3075-85: A Time of War/MinorPerihery3075)[2xMm,2xLm]
Clans                                    Yes - (3075-85: A Time of War/Clans3075)[1xMm,4xLm]
Clan BA                                  No
Davion                                   Yes - (3075-85: A Time of War)[2xMm,2xLm]
Delphi                                   Yes - (Custom Primitive 2765-2785 Lists)[1xMm,2xHv,3xLv]
Farmers Uprising                         N/A
