"chassisdef_adder_ADR-CN.Description.Details";"Reportedly piloted by Dirk Radick, the Adder Hero 'Mech, the Cinder mounts an ER Large Laser in each arm supported by a Machine Gun in each side torso complimented by the head mounted Flamer. Carrying two and half tons of machine gun rounds, five extra Double Heat Sinks maintain a high rate of laser fire.   \n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.06</color></b>";"Reportedly piloted by Dirk Radick, the Adder Hero 'Mech, the Cinder mounts an ER Large Laser in each arm supported by a Machine Gun in each side torso complimented by the head mounted Flamer. Carrying two and half tons of machine gun rounds, five extra Double Heat Sinks maintain a high rate of laser fire. 

<b><color=#e62e00>Склонность: Узкий / Низкий профиль</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.06</color></b>";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-CN.StockRole";"Sniper";"Снайпер";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-CN.YangsThoughts";"TReportedly piloted by Dirk Radick, the Adder Hero 'Mech, the Cinder mounts an ER Large Laser in each arm supported by a Machine Gun in each side torso complimented by the head mounted Flamer. Carrying two and half tons of machine gun rounds, five extra Double Heat Sinks maintain a high rate of laser fire.";"TReportedly piloted by Dirk Radick, the Adder Hero 'Mech, the Cinder mounts an ER Large Laser in each arm supported by a Machine Gun in each side torso complimented by the head mounted Flamer. Carrying two and half tons of machine gun rounds, five extra Double Heat Sinks maintain a high rate of laser fire.";;"#000000";"#FFFFFF"
"chassisdef_archangel_CES-3R-AA.Description.Details";"The personal 'Mech of Marcus GioAvanti, commander of Avanti's Angels, all of Archangel's weapons are upgraded to Clantech equivalents with the right arm medium pulse laser moved to the left arm and an extra Clan medium pulse laser added to the center torso. The resulted weight and space saved allowed the mounting of an extra double heat sink as well as additional armor.\n\n<b><color=#e62e00>Quirk: Hyper-Extending Actuators</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.15</color></b>";"The personal 'Mech of Marcus GioAvanti, commander of Avanti's Angels, all of Archangel's weapons are upgraded to Clantech equivalents with the right arm medium pulse laser moved to the left arm and an extra Clan medium pulse laser added to the center torso. The resulted weight and space saved allowed the mounting of an extra double heat sink as well as additional armor.

<b><color=#e62e00>Склонность: Выдвижные руки</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.15</color></b>";;"#000000";"#FFFFFF"
"chassisdef_archangel_CES-3R-AA.StockRole";"Custom Skirmisher";"Модернизированный застрельщик";;"#000000";"#FFFFFF"
"chassisdef_archangel_CES-3R-AA.YangsThoughts";"The personal 'Mech of Marcus GioAvanti, commander of Avanti's Angels, all of Archangel's weapons are upgraded to Clantech equivalents with the right arm medium pulse laser moved to the left arm and an extra Clan medium pulse laser added to the center torso. The resulted weight and space saved allowed the mounting of an extra double heat sink as well as additional armor.";"The personal 'Mech of Marcus GioAvanti, commander of Avanti's Angels, all of Archangel's weapons are upgraded to Clantech equivalents with the right arm medium pulse laser moved to the left arm and an extra Clan medium pulse laser added to the center torso. The resulted weight and space saved allowed the mounting of an extra double heat sink as well as additional armor.";;"#000000";"#FFFFFF"
"chassisdef_argus_AGS-1X.Description.Details";"The very first Argus Design spec's that was rejected by the AFFCS, while being a lot more flexible then contemporary Chassis did its more advanced and rare components make it unfit for larger Engagements.\n\n<b><color=#e62e00>Quirk: Artemis V</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.07</color></b>";"The very first Argus Design spec's that was rejected by the AFFCS, while being a lot more flexible then contemporary Chassis did its more advanced and rare components make it unfit for larger Engagements.

<b><color=#e62e00>Склонность: Артемида V</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.12</color></b>";;"#000000";"#FFFFFF"
"chassisdef_argus_AGS-1X.StockRole";"Close Combat Cavalry";"Кавалерия ближнего боя";;"#000000";"#FFFFFF"
"chassisdef_argus_AGS-1X.YangsThoughts";"The very first Argus Design spec's that was rejected by the AFFCS, while being a lot more flexible then contemporary Chassis did its more advanced and rare components make it unfit for larger Engagements.";"The very first Argus Design spec's that was rejected by the AFFCS, while being a lot more flexible then contemporary Chassis did its more advanced and rare components make it unfit for larger Engagements.";;"#000000";"#FFFFFF"
"chassisdef_arrow_BJ-A.Description.Details";"Michael Ubodo's Arrow is armed with a trio of Machine Guns in each arm supplied with two tons of ammo, supported by a Medium Laser in side torso and a Large Pulse Laser mounted in the center torso. Mounting a 235 standard engine, its varation of the Arrow is clad in Ferro-Fibrous armor on an Endo Steel frame, carrying eleven Double Heat Sinks and just two Jump Jets.\n\n<b><color=#e62e00>Quirk: Extended Torso Twist</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.08</color></b>";"Michael Ubodo's Arrow is armed with a trio of Machine Guns in each arm supplied with two tons of ammo, supported by a Medium Laser in side torso and a Large Pulse Laser mounted in the center torso. Mounting a 235 standard engine, its varation of the Arrow is clad in Ferro-Fibrous armor on an Endo Steel frame, carrying eleven Double Heat Sinks and just two Jump Jets.

<b><color=#e62e00>Склонность: Доворот торса</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.08</color></b>";;"#000000";"#FFFFFF"
"chassisdef_arrow_BJ-A.StockRole";"Fire Support & Skirmisher";"Огневая поддержка / Застрельщик";;"#000000";"#FFFFFF"
"chassisdef_arrow_BJ-A.YangsThoughts";"Michael Ubodo's Arrow is armed with a trio of Machine Guns in each arm supplied with two tons of ammo, supported by a Medium Laser in side torso and a Large Pulse Laser mounted in the center torso. Mounting a 235 standard engine, its varation of the Arrow is clad in Ferro-Fibrous armor on an Endo Steel frame, carrying eleven Double Heat Sinks and just two Jump Jets.";"Michael Ubodo's Arrow is armed with a trio of Machine Guns in each arm supplied with two tons of ammo, supported by a Medium Laser in side torso and a Large Pulse Laser mounted in the center torso. Mounting a 235 standard engine, its varation of the Arrow is clad in Ferro-Fibrous armor on an Endo Steel frame, carrying eleven Double Heat Sinks and just two Jump Jets.";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-D_Danielle.Description.Details";"Piloted by Wolf's Dragoons Captain Danielle Rondema, this modified Atlas carried three medium lasers in each arm, trading away the SRM rack to do so. The additional heat was dissipated by two additional heat sinks that replaced the rear-firing medium lasers. \n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.23</color></b>";"Piloted by Wolf's Dragoons Captain Danielle Rondema, this modified Atlas carried three medium lasers in each arm, trading away the SRM rack to do so. The additional heat was dissipated by two additional heat sinks that replaced the rear-firing medium lasers. 

<b><color=#e62e00>Склонность: Наводящий ужас</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.23</color></b>";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-D_Danielle.StockRole";"Juggernaut & Close Assault";"Джаггернаут / Штурм";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-D_Danielle.YangsThoughts";"Piloted by Wolf's Dragoons Captain Danielle Rondema, this modified Atlas carried three medium lasers in each arm, trading away the SRM rack to do so. The additional heat was dissipated by two additional heat sinks that replaced the rear-firing medium lasers.";"Piloted by Wolf's Dragoons Captain Danielle Rondema, this modified Atlas carried three medium lasers in each arm, trading away the SRM rack to do so. The additional heat was dissipated by two additional heat sinks that replaced the rear-firing medium lasers.";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-GG.Description.Details";"The Atlas D is the king of the battlefield, capable of bringing a dizzying array of weapons to bear on targets at any range. It is also noteworthy for normally mounting the maximum amount of armor possible. Few opponents can survive even brief contact with this monster.\n\n<b><color=#e62e00>Quirk: Improved Communications</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"The Atlas D is the king of the battlefield, capable of bringing a dizzying array of weapons to bear on targets at any range. It is also noteworthy for normally mounting the maximum amount of armor possible. Few opponents can survive even brief contact with this monster.

<b><color=#e62e00>Склонность: Улучш. средства связи</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-GG.StockRole";"Juggernaut & Close Assault";"Джаггернаут / Штурм";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-GG.YangsThoughts";"The Atlas D is the king of the battlefield, capable of bringing a dizzying array of weapons to bear on targets at any range. It is also noteworthy for normally mounting the maximum amount of armor possible. Few opponents can survive even brief contact with this monster.";"The Atlas D is the king of the battlefield, capable of bringing a dizzying array of weapons to bear on targets at any range. It is also noteworthy for normally mounting the maximum amount of armor possible. Few opponents can survive even brief contact with this monster.";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-S7.Description.Details";"Another typical Export from the Gamesworld is this Atlas redesigned around an Articulated and 3 Directional Jump Jets, to close in and punch the Enemy with its Hydraulic Fists.\n\n<b><color=#e62e00>Quirk: Battle Fists</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.18</color></b>";"Another typical Export from the Gamesworld is this Atlas redesigned around an Articulated and 3 Directional Jump Jets, to close in and punch the Enemy with its Hydraulic Fists.

<b><color=#e62e00>Склонность: Бойцовский клуб</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.18</color></b>";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-S7.StockRole";"Juggernaut & Close Assault";"Джаггернаут / Штурм";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-S7.YangsThoughts";"Another typical Export from the Gamesworld is this Atlas redesigned around an Articulated and 3 Directional Jump Jets, to close in and punch the Enemy with its Hydraulic Fists.";"Another typical Export from the Gamesworld is this Atlas redesigned around an Articulated and 3 Directional Jump Jets, to close in and punch the Enemy with its Hydraulic Fists.";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-WGS_Samsonov.Description.Details";"The personal 'Mech of Galedon Military District commander Warlord Grieg Samsonov during the DCMS's Third Succession War invasion of Galtor III in 3025, only the massive autocannon remains, with the rest of the standard weaponry replaced with a PPC mounted in each arm. The remaining weight and space is devoted to six additional heat sinks. \n\n<b><color=#e62e00>Quirk: Intimidating</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.23</color></b>";"The personal 'Mech of Galedon Military District commander Warlord Grieg Samsonov during the DCMS's Third Succession War invasion of Galtor III in 3025, only the massive autocannon remains, with the rest of the standard weaponry replaced with a PPC mounted in each arm. The remaining weight and space is devoted to six additional heat sinks. 

<b><color=#e62e00>Склонность: Наводящий ужас</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.23</color></b>";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-WGS_Samsonov.StockRole";"Sniper & Close Assault";"Снайпер / Штурмовик ближнего боя";;"#000000";"#FFFFFF"
"chassisdef_atlas_AS7-WGS_Samsonov.YangsThoughts";"The personal 'Mech of Galedon Military District commander Warlord Grieg Samsonov during the DCMS's Third Succession War invasion of Galtor III in 3025, only the massive autocannon remains, with the rest of the standard weaponry replaced with a PPC mounted in each arm. The remaining weight and space is devoted to six additional heat sinks. While lacking much of the close-range weaponry of the AS7-D, this unusual, modified variant was highly effective in a Direct Fire Support Role.";"The personal 'Mech of Galedon Military District commander Warlord Grieg Samsonov during the DCMS's Third Succession War invasion of Galtor III in 3025, only the massive autocannon remains, with the rest of the standard weaponry replaced with a PPC mounted in each arm. The remaining weight and space is devoted to six additional heat sinks. While lacking much of the close-range weaponry of the AS7-D, this unusual, modified variant was highly effective in a Direct Fire Support Role.";;"#000000";"#FFFFFF"
"chassisdef_awesome_AWS-9Ma_adam.Description.Details";"A customized variant of the stock AWS-9M model that was utilized by Adam Steiner during the 1st Somerset Strikers' liberation of Somerset in the midst of the Clan Invasion. \n\n<b><color=#e62e00>Quirk: Command Mech</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.14</color></b>";"A customized variant of the stock AWS-9M model that was utilized by Adam Steiner during the 1st Somerset Strikers' liberation of Somerset in the midst of the Clan Invasion.

<b><color=#e62e00>Склонность: Командирский мех</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.14</color></b>";;"#000000";"#FFFFFF"
"chassisdef_awesome_AWS-9Ma_adam.StockRole";"Heavy Sniper & Defender";"Усиленный снайпер / Защитник";;"#000000";"#FFFFFF"
"chassisdef_awesome_AWS-9Ma_adam.YangsThoughts";"Guy stopped by when I was hunting for parts for this thing, Let me know all the tiny nuts and screws of this beast. Had a funny quote too, he said 'Information is Ammunition'.";"Guy stopped by when I was hunting for parts for this thing, Let me know all the tiny nuts and screws of this beast. Had a funny quote too, he said 'Information is Ammunition'.";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-SR_sawyer.Description.Details";"A customized BNC-5S that sacrifices weaponry for mobility. An ER PPC and heat sink are removed to add four jump jets.\n\n<b><color=#e62e00>Quirk: Battle Fists</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";"A customized BNC-5S that sacrifices weaponry for mobility. An ER PPC and heat sink are removed to add four jump jets.

<b><color=#e62e00>Склонность: Бойцовский клуб</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.22</color></b>";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-SR_sawyer.StockRole";"Sniper";"Снайпер";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-SR_sawyer.YangsThoughts";"A customized BNC-5S that sacrifices weaponry for mobility. An ER PPC and heat sink are removed to add four jump jets.";"A customized BNC-5S that sacrifices weaponry for mobility. An ER PPC and heat sink are removed to add four jump jets.";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-HK.Description.Details";"The Banshee HK mounts two Hydraulic Fists and is outfitted with a selection of newly developed defensive technologies.\n\n<b><color=#e62e00>Quirk: Battle Fists</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.17</color></b>";"The Banshee HK mounts two Hydraulic Fists and is outfitted with a selection of newly developed defensive technologies.

<b><color=#e62e00>Склонность: Бойцовский клуб</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.17</color></b>";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-HK.StockRole";"Heavy Brawler & Sniper";"Тяжёлый борец / Снайпер";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-HK.YangsThoughts";"The Banshee HK mounts two Hydraulic Fists and is outfitted with a selection of newly developed defensive technologies.";"The Banshee HK mounts two Hydraulic Fists and is outfitted with a selection of newly developed defensive technologies.";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-LM_la_malinche.Description.Details";"The unique “La Malinche” variant is a powerful war machine, and with the Aztec-inspired art of old Terra, she is both as beautiful, as she is deadly.\n\n<b><color=#e62e00>Quirk: Rugged</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";"The unique “La Malinche” variant is a powerful war machine, and with the Aztec-inspired art of old Terra, she is both as beautiful, as she is deadly.

<b><color=#e62e00>Склонность: Прочный</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.22</color></b>";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-LM_la_malinche.StockRole";"Heavy Brawler & Sniper";"Тяжёлый борец / Снайпер";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-LM_la_malinche.YangsThoughts";"The unique “La Malinche” variant is a powerful war machine, and with the Aztec-inspired art of old Terra, she is both as beautiful, as she is deadly.";"The unique “La Malinche” variant is a powerful war machine, and with the Aztec-inspired art of old Terra, she is both as beautiful, as she is deadly.";;"#000000";"#FFFFFF"
"chassisdef_battlemaster_BLR-1GHE.Description.Details";"This Star League era variant removes two of the forward-facing medium lasers, both machine guns, the SRM launcher and their ammunition. In place of the SRM launcher are three Streak SRM-2 launchers with a single ton of ammunition with an extra PPC mounted in the left arm. Sixteen double heat sinks keep the 'Mech cool, and the 'Mech's armor is upgraded to Ferro-Fibrous armor. An extra half ton of armor is also installed.\n\n<b><color=#e62e00>Quirk: Command Mech</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.2</color></b>";"This Star League era variant removes two of the forward-facing medium lasers, both machine guns, the SRM launcher and their ammunition. In place of the SRM launcher are three Streak SRM-2 launchers with a single ton of ammunition with an extra PPC mounted in the left arm. Sixteen double heat sinks keep the 'Mech cool, and the 'Mech's armor is upgraded to Ferro-Fibrous armor. An extra half ton of armor is also installed.

<b><color=#e62e00>Склонность: Командирский мех</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.2</color></b>";;"#000000";"#FFFFFF"
"chassisdef_battlemaster_BLR-1GHE.StockRole";"Heavy Brawler & Close Assault";"Тяжёлый борец / Штурм";;"#000000";"#FFFFFF"
"chassisdef_battlemaster_BLR-1GHE.YangsThoughts";"This Star League era variant removes two of the forward-facing medium lasers, both machine guns, the SRM launcher and their ammunition. In place of the SRM launcher are three Streak SRM-2 launchers with a single ton of ammunition with an extra PPC mounted in the left arm. Sixteen double heat sinks keep the 'Mech cool, and the 'Mech's armor is upgraded to Ferro-Fibrous armor. An extra half ton of armor is also installed.";"This Star League era variant removes two of the forward-facing medium lasers, both machine guns, the SRM launcher and their ammunition. In place of the SRM launcher are three Streak SRM-2 launchers with a single ton of ammunition with an extra PPC mounted in the left arm. Sixteen double heat sinks keep the 'Mech cool, and the 'Mech's armor is upgraded to Ferro-Fibrous armor. An extra half ton of armor is also installed.";;"#000000";"#FFFFFF"
