"chassisdef_javelin_JVN-10A.Description.Details";"Introduced in 2752, the 10A is a long-range harasser. Both SRM-6 racks are replaced by one LRM-15 in the right torso with one ton of reloads. \n\n<b><color=#e62e00>Quirk: Easy to Maintain</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.97</color></b>";"Представленный в 2752 году, 10A является дальнобойным задирой. Обе установки SRM-6 заменены одной установка LRM-15 в правой части торса с одной тонной боеприпасов.

<b><color=#e62e00>Склонность: Прост в обслуживании</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.97</color></b>";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10A.StockRole";"Scout & Ambusher";"Разведка и засада";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10A.YangsThoughts";"Introduced in 2752, the 10A is a long-range harasser. Both SRM-6 racks are replaced by one LRM-15 in the right torso with one ton of reloads. ";"Представленный в 2752 году, 10A является дальнобойным задирой. Обе установки SRM-6 заменены одной установка LRM-15 в правой части торса с одной тонной боеприпасов.";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10F.Description.Details";"The Fire Javelin is a dangerous 'Mech for its tonnage, especially against other light mechs and some mediums. The JVN-10F also makes a decent light 'Mech hunter-killer.\n\n<b><color=#e62e00>Quirk: Easy to Maintain</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.97</color></b>";"The Fire Javelin is a dangerous 'Mech for its tonnage, especially against other light mechs and some mediums. The JVN-10F also makes a decent light 'Mech hunter-killer.

<b><color=#e62e00>Склонность: Прост в обслуживании</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.97</color></b>";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10F.StockRole";"Scout & Ambusher";"Разведка и засада";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10F.YangsThoughts";"The Javelin is a dangerous 'Mech for its tonnage, especially against other light mechs and some mediums. The JVN-10F also makes a decent light 'Mech hunter-killer.";"Javelin - опасный мех для своего тонажа, особенно против других легких мехов и некоторых средних. JVN-10F является достойным легким охотником-убийцей мехов.";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10N.Description.Details";"The Javelin is an extremely effective ambusher and superb reconnaissance mech.\n\n<b><color=#e62e00>Quirk: Easy to Maintain</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.97</color></b>";"Javelin чрезвычайно эффективен для засад, так же является превосходным разведывательным мехом.

<b><color=#e62e00>Склонность: Прост в обслуживании</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.97</color></b>";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10N.StockRole";"Scout & Ambusher";"Разведка и засада";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10N.YangsThoughts";"The Javelin is a dangerous 'Mech for its tonnage, especially against other light mechs and some mediums. The JVN-10N also makes a decent light 'Mech hunter-killer.";"Javelin - опасный мех для своего тонажа, особенно против других легких мехов и некоторых средних. JVN-10N является достойным легким охотником-убийцей мехов.";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10P.Description.Details";"The 10P model is an upgrade of the 10N model introduced by the Federated Commonwealth amid much secrecy in 3049. The 10P retains the armor and speed profile of the 10N, removes one of the SRM-6 launchers and replaces it with two Streak SRM-2 launchers. While sacrificing slightly in terms of firepower, this variant is far more ammo-efficient than the original.\n\n<b><color=#e62e00>Quirk: Easy to Maintain</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.97</color></b>";"Модель 10P является обновлением модели 10N, создана Федеративным Содружеством в условиях большой секретности в 3049 году. 10P сохраняет броню и скорость 10N, удаляет одну из пусковых установок SRM-6 и заменяет ее двумя пусковыми установками Streak SRM-2. Хотя этот вариант немного жертвует огневой мощью, он гораздо более эффективен по расходу боеприпасов, чем оригинальный.

<b><color=#e62e00>Склонность: Прост в обслуживании</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.97</color></b>";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10P.StockRole";"Scout & Ambusher";"Разведка и засада";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-10P.YangsThoughts";"The 10P model is an upgrade of the 10N model introduced by the Federated Commonwealth amid much secrecy in 3049. The 10P retains the armor and speed profile of the 10N, removes one of the SRM-6 launchers and replaces it with two Streak SRM-2 launchers. While sacrificing slightly in terms of firepower, this variant is far more ammo-efficient than the original";"Модель 10P является обновлением модели 10N, создана Федеративным Содружеством в условиях большой секретности в 3049 году. 10P сохраняет броню и скорость 10N, удаляет одну из пусковых установок SRM-6 и заменяет ее двумя пусковыми установками Streak SRM-2. Хотя этот вариант немного жертвует огневой мощью, он гораздо более эффективен по расходу боеприпасов, чем оригинальный.";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-11A.Description.Details";"The Javelin is an extremely effective ambusher and superb reconnaissance mech.\n\n<b><color=#e62e00>Quirk: Easy to Maintain</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.97</color></b>";"Javelin чрезвычайно эффективен для засад, так же является превосходным разведывательным мехом.

<b><color=#e62e00>Склонность: Прост в обслуживании</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.97</color></b>";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-11A.StockRole";"Scout & Ambusher";"Разведка и засада";;"#000000";"#FFFFFF"
"chassisdef_javelin_JVN-11A.YangsThoughts";"The Javelin is a dangerous 'Mech for its tonnage, especially against other light mechs and some mediums. The JVN-10F also makes a decent light 'Mech hunter-killer.";"Javelin - опасный мех для своего тонажа, особенно против других легких мехов и некоторых средних. JVN-11A является достойным легким охотником-убийцей мехов.";;"#000000";"#FFFFFF"
