"chassisdef_arctic_wolf_ACW-BK.Description.Details";"A customized variant of the standard Arctic Wolf, the Blood Kit carries an ER Large and ER Medium Laser each arm, supported by a Heavy Machine Gun in each side torso and a center torso mounted Streak SRM-6 launcher. Mounting four jump jets, the Blood Kit carries an extra double sink and single ton of ammunition for each weapon type.\n\n<b><color=#e62e00>Quirk: Improved Targeting - Short</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.13</color></b>";"A customized variant of the standard Arctic Wolf, the Blood Kit carries an ER Large and ER Medium Laser each arm, supported by a Heavy Machine Gun in each side torso and a center torso mounted Streak SRM-6 launcher. Mounting four jump jets, the Blood Kit carries an extra double sink and single ton of ammunition for each weapon type.

<b><color=#e62e00>Склонность: Улучш. наведение - Short</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.13</color></b>";;"#000000";"#FFFFFF"
"chassisdef_arctic_wolf_ACW-BK.StockRole";"Scout & Harasser";"Разведчик / Задира";;"#000000";"#FFFFFF"
"chassisdef_arctic_wolf_ACW-BK.YangsThoughts";"A customized variant of the standard Arctic Wolf, the Blood Kit carries an ER Large and ER Medium Laser each arm, supported by a Heavy Machine Gun in each side torso and a center torso mounted Streak SRM-6 launcher. Mounting four jump jets, the Blood Kit carries an extra double sink and single ton of ammunition for each weapon type.";"A customized variant of the standard Arctic Wolf, the Blood Kit carries an ER Large and ER Medium Laser each arm, supported by a Heavy Machine Gun in each side torso and a center torso mounted Streak SRM-6 launcher. Mounting four jump jets, the Blood Kit carries an extra double sink and single ton of ammunition for each weapon type.";;"#000000";"#FFFFFF"
"chassisdef_arctic_wolf_ACW-P.Description.Details";"Alt configuration P of the Arctic Wolf OmniMech features a ER Large and ER Medium Laser in left arm and paired ER Mediums in the right arm, supported by twin Streak SRM-4s in the left torso and two ER Small Lasers in right torso. Two tons of Stream reloads and five extra double heat sinks keep the Arctic Wolf P in battle.\n\n<b><color=#e62e00>Quirk: Improved Targeting - Short</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.08</color></b>";"Alt configuration P of the Arctic Wolf OmniMech features a ER Large and ER Medium Laser in left arm and paired ER Mediums in the right arm, supported by twin Streak SRM-4s in the left torso and two ER Small Lasers in right torso. Two tons of Stream reloads and five extra double heat sinks keep the Arctic Wolf P in battle.

<b><color=#e62e00>Склонность: Улучш. наведение - Short</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.08</color></b>";;"#000000";"#FFFFFF"
"chassisdef_arctic_wolf_ACW-P.StockRole";"Scout & Harasser";"Разведчик / Задира";;"#000000";"#FFFFFF"
"chassisdef_arctic_wolf_ACW-P.YangsThoughts";"Alt configuration P of the Arctic Wolf OmniMech features a ER Large and ER Medium Laser in left arm and paired ER Mediums in the right arm, supported by twin Streak SRM-4s in the left torso and two ER Small Lasers in right torso. Two tons of Stream reloads and five extra double heat sinks keep the Arctic Wolf P in battle.";"Alt configuration P of the Arctic Wolf OmniMech features a ER Large and ER Medium Laser in left arm and paired ER Mediums in the right arm, supported by twin Streak SRM-4s in the left torso and two ER Small Lasers in right torso. Two tons of Stream reloads and five extra double heat sinks keep the Arctic Wolf P in battle.";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-VDG_vandergriff.Description.Details";"A custom BNC-5S piloted by Solaris VII duelist Victor Vandergriff during the Solaris riots of 3062. The weapon loadout in this variant is similar to a standard BNC-5S. Two ER PPCs are the main armaments, one mounted in the left arm and the other in the right torso. A LB-10X sits in the left torso. The two medium lasers of the original are retained in the left arm. The right arm contains a small SRM-4. Finally, four Luxor jump jets are added for increased mobility.\n\n<b><color=#e62e00>Quirk: Rugged</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";"A custom BNC-5S piloted by Solaris VII duelist Victor Vandergriff during the Solaris riots of 3062. The weapon loadout in this variant is similar to a standard BNC-5S. Two ER PPCs are the main armaments, one mounted in the left arm and the other in the right torso. A LB-10X sits in the left torso. The two medium lasers of the original are retained in the left arm. The right arm contains a small SRM-4. Finally, four Luxor jump jets are added for increased mobility.

<b><color=#e62e00>Склонность: Прочный</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.22</color></b>";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-VDG_vandergriff.StockRole";"Sniper";"Снайпер";;"#000000";"#FFFFFF"
"chassisdef_banshee_BNC-5S-VDG_vandergriff.YangsThoughts";"A custom BNC-5S piloted by Solaris VII duelist Victor Vandergriff during the Solaris riots of 3062. The weapon loadout in this variant is similar to a standard BNC-5S. Two ER PPCs are the main armaments, one mounted in the left arm and the other in the right torso. A LB-10X sits in the left torso. The two medium lasers of the original are retained in the left arm. The right arm contains a small SRM-4. Finally, four Luxor jump jets are added for increased mobility.";"A custom BNC-5S piloted by Solaris VII duelist Victor Vandergriff during the Solaris riots of 3062. The weapon loadout in this variant is similar to a standard BNC-5S. Two ER PPCs are the main armaments, one mounted in the left arm and the other in the right torso. A LB-10X sits in the left torso. The two medium lasers of the original are retained in the left arm. The right arm contains a small SRM-4. Finally, four Luxor jump jets are added for increased mobility.";;"#000000";"#FFFFFF"
"chassisdef_deathstrike_MCII-DS.Description.Details";"Though bearing a remarkable outward resemblance to the Timberwolf, this BattleMech is a new and powerful creation. Carrying thirteen tons of ferro-fibrous armor, the Mad Cat MK II is an incredibly resilient design. A pair of arm mounted Gaussrifles supported by torso mounted LRM racks give it complete command over the battlefield. \n\n<b><color=#e62e00>Quirk: Improved Targeting - Medium</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.27</color></b>";"Though bearing a remarkable outward resemblance to the Timberwolf, this BattleMech is a new and powerful creation. Carrying thirteen tons of ferro-fibrous armor, the Mad Cat MK II is an incredibly resilient design. A pair of arm mounted Gaussrifles supported by torso mounted LRM racks give it complete command over the battlefield. 

<b><color=#e62e00>Склонность: Улучш. наведение - Medium</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.27</color></b>";;"#000000";"#FFFFFF"
