"chassisdef_gun_GN-2OR.Description.Details";"The Gùn is a moderately fast light OmniMech which was designed by the Capellan Confederation as an Infantry Support 'Mech. Designed with 10 tons of pod space, the default configuration of the Gùn features a combination of anti-infantry and anti-vehicle energy weaponry. The 'Mech also features a Small Cockpit and an XL Gyro.\n\n<b><color=#e62e00>Quirk: Improved Targeting - Short</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.92</color></b>";"The Gùn is a moderately fast light OmniMech which was designed by the Capellan Confederation as an Infantry Support 'Mech. Designed with 10 tons of pod space, the default configuration of the Gùn features a combination of anti-infantry and anti-vehicle energy weaponry. The 'Mech also features a Small Cockpit and an XL Gyro.

<b><color=#e62e00>Склонность: Улучш. наведение - Short</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.02</color></b>";;"#000000";"#FFFFFF"
"chassisdef_gun_GN-2OR.StockRole";"Garrison Scout";"Гарнизонный разведчик";;"#000000";"#FFFFFF"
"chassisdef_gun_GN-2OR.YangsThoughts";"The Gùn is a moderately fast light OmniMech which was designed by the Capellan Confederation as an Infantry Support 'Mech. Rebuilding several 'liberated' chassis from border conflicts was this upgraded with a more formidable engine and Stealth systems to infiltrate deep into capellan Territory.";"The Gùn is a moderately fast light OmniMech which was designed by the Capellan Confederation as an Infantry Support 'Mech. Rebuilding several 'liberated' chassis from border conflicts was this upgraded with a more formidable engine and Stealth systems to infiltrate deep into capellan Territory.";;"#000000";"#FFFFFF"
"chassisdef_hazen_JHK-HZN.Description.Details";"Malvina Hazen was part of the group assigned to designing the Jadehawk, while the Khan was a galaxy commander one she shared an especially close bond with Khan Hazen. This mech was her last gift to her brother.\n\n<b><color=#e62e00>Quirk: Distracting</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.23</color></b>";"Malvina Hazen was part of the group assigned to designing the Jadehawk, while the Khan was a galaxy commander one she shared an especially close bond with Khan Hazen. This mech was her last gift to her brother.

<b><color=#e62e00>Склонность: Устрашающий</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.23</color></b>";;"#000000";"#FFFFFF"
"chassisdef_hazen_JHK-HZN.StockRole";"Clan BattleMech";"Боевой мех кланов";;"#000000";"#FFFFFF"
"chassisdef_hazen_JHK-HZN.YangsThoughts";"What we have here is something I never thought I would see. It has clan tech, It is built by the clans, but it is definitely designed to rip your face off with those talons. I hope Malvina Hazen gifted you that mech, else you may be in trouble.";"What we have here is something I never thought I would see. It has clan tech, It is built by the clans, but it is definitely designed to rip your face off with those talons. I hope Malvina Hazen gifted you that mech, else you may be in trouble.";;"#000000";"#FFFFFF"
"chassisdef_jade_hawk_JHK-03_Milagro.Description.Details";"A custom made adaptation of the JHK-03 ordered by Celina Santos. It replaces the the SRM-6s with an Advanced Tactical Missile System and an LB-X Autocannon/5. It was the first Jade Hawk to become (in)famous in the Inner Sphere.\n\n<b><color=#e62e00>Quirk: Distracting</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.22</color></b>";"A custom made adaptation of the JHK-03 ordered by Celina Santos. It replaces the the SRM-6s with an Advanced Tactical Missile System and an LB-X Autocannon/5. It was the first Jade Hawk to become (in)famous in the Inner Sphere.

<b><color=#e62e00>Склонность: Устрашающий</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.22</color></b>";;"#000000";"#FFFFFF"
"chassisdef_jade_hawk_JHK-03_Milagro.StockRole";"Clan BattleMech";"Боевой мех кланов";;"#000000";"#FFFFFF"
"chassisdef_jade_hawk_JHK-03_Milagro.YangsThoughts";"A custom made adaptation of the JHK-03 ordered by Celina Santos. It replaces the the SRM-6s with an Advanced Tactical Missile System and an LB-X Autocannon/5. It was the first Jade Hawk to become (in)famous in the Inner Sphere.";"A custom made adaptation of the JHK-03 ordered by Celina Santos. It replaces the the SRM-6s with an Advanced Tactical Missile System and an LB-X Autocannon/5. It was the first Jade Hawk to become (in)famous in the Inner Sphere.";;"#000000";"#FFFFFF"
"chassisdef_mad_cat_iii_eve.Description.Details";"Used by Republic of the Sphere Knight Eve Kincaid during the invasion of Liao in 3134, this Mad Cat III was equipped with an Extended-range PPC and two ER Medium Lasers controlled by a Targeting Computer. The Missile Launchers were downgraded to LRM-10 racks, but augmented with Artemis IV FCS.\n\n<b><color=#e62e00>Quirk: Improved Communications</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.15</color></b>";"Used by Republic of the Sphere Knight Eve Kincaid during the invasion of Liao in 3134, this Mad Cat III was equipped with an Extended-range PPC and two ER Medium Lasers controlled by a Targeting Computer. The Missile Launchers were downgraded to LRM-10 racks, but augmented with Artemis IV FCS.

<b><color=#e62e00>Склонность: Улучш. средства связи</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.15</color></b>";;"#000000";"#FFFFFF"
"chassisdef_mad_cat_iii_eve.StockRole";"Striker Cavalry";"Ударная единица / Кавалерия";;"#000000";"#FFFFFF"
