"chassisdef_adder_ADR-I.Description.Details";"The Adder I config carries an Improved Heavy Medium Laser and twin ER Medium Lasers. An SRM-6 and a ton of ammunition is mounted in each side torso. To handle the heavy heat load, four extra heat sinks are installed, two in each arm.   \n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.01</color></b>";"The Adder I config carries an Improved Heavy Medium Laser and twin ER Medium Lasers. An SRM-6 and a ton of ammunition is mounted in each side torso. To handle the heavy heat load, four extra heat sinks are installed, two in each arm. 

<b><color=#e62e00>Склонность: Узкий / Низкий профиль</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.01</color></b>";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-I.StockRole";"Striker";"Ударная единица";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-I.YangsThoughts";"The Adder I config carries an Improved Heavy Medium Laser and twin ER Medium Lasers. An SRM-6 and a ton of ammunition is mounted in each side torso. To handle the heavy heat load, four extra heat sinks are installed, two in each arm.";"The Adder I config carries an Improved Heavy Medium Laser and twin ER Medium Lasers. An SRM-6 and a ton of ammunition is mounted in each side torso. To handle the heavy heat load, four extra heat sinks are installed, two in each arm.";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-L.Description.Details";"The L configuration is apparently a light striker variant. Each arm carries a pair of Streak LRM-5s and a ton of ammunition. The side torsos carry a single ER Medium Laser, while an ECM Suite provides electronic warfare support. For additional movement, six jump jets are installed for a 180 meter jump range.   \n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.01</color></b>";"The L configuration is apparently a light striker variant. Each arm carries a pair of Streak LRM-5s and a ton of ammunition. The side torsos carry a single ER Medium Laser, while an ECM Suite provides electronic warfare support. For additional movement, six jump jets are installed for a 180 meter jump range. 

<b><color=#e62e00>Склонность: Узкий / Низкий профиль</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.01</color></b>";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-L.StockRole";"Striker";"Ударная единица";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-L.YangsThoughts";"The L configuration is apparently a light striker variant. Each arm carries a pair of Streak LRM-5s and a ton of ammunition. The side torsos carry a single ER Medium Laser, while an ECM Suite provides electronic warfare support. For additional movement, six jump jets are installed for a 180 meter jump range.";"The L configuration is apparently a light striker variant. Each arm carries a pair of Streak LRM-5s and a ton of ammunition. The side torsos carry a single ER Medium Laser, while an ECM Suite provides electronic warfare support. For additional movement, six jump jets are installed for a 180 meter jump range.";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-T.Description.Details";"The T configuration carries an ER PPC with a PPC Capacitor in each arm. An extra double heat sink is in the left and right torso, but to handle heavy heat loads the right torso carries a triple Coolant Pod.   \n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.01</color></b>";"The T configuration carries an ER PPC with a PPC Capacitor in each arm. An extra double heat sink is in the left and right torso, but to handle heavy heat loads the right torso carries a triple Coolant Pod. 

<b><color=#e62e00>Склонность: Узкий / Низкий профиль</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.01</color></b>";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-T.StockRole";"Sniper";"Снайпер";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-T.YangsThoughts";"The T configuration carries an ER PPC with a PPC Capacitor in each arm. An extra double heat sink is in the left and right torso, but to handle heavy heat loads the right torso carries a triple Coolant Pod.";"The T configuration carries an ER PPC with a PPC Capacitor in each arm. An extra double heat sink is in the left and right torso, but to handle heavy heat loads the right torso carries a triple Coolant Pod.";;"#000000";"#FFFFFF"
"chassisdef_amazon_IS-A.Description.Details";"The Amazon battle armor was created by the Magistracy of Canopus. Based on the standard Inner Sphere battle armor, the Amazon uses advanced armor to increase protection and provides a jump capability of 90 meters. This allows Amazon-equipped troops to clear obstacles that would stop other battle armor units. The Amazon is used by both the Magistracy and the Capellan Confederation. Amazons deployed by the Capellan Confederation Armed Forces faced Cavalier battle armor and turned in a better performance.\n\n<b><color=#e62e00>Quirk: Armored</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 0.94</color></b>";"The Amazon battle armor was created by the Magistracy of Canopus. Based on the standard Inner Sphere battle armor, the Amazon uses advanced armor to increase protection and provides a jump capability of 90 meters. This allows Amazon-equipped troops to clear obstacles that would stop other battle armor units. The Amazon is used by both the Magistracy and the Capellan Confederation. Amazons deployed by the Capellan Confederation Armed Forces faced Cavalier battle armor and turned in a better performance.

<b><color=#e62e00>Склонность: Алмазная кожа</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 0.94</color></b>";;"#000000";"#FFFFFF"
