"Ammo_AmmunitionBox_MicroMissile.Description.Details";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile.Description.Name";"MMS Ammo";"MMS Ammo";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile.Description.UIName";"Ammo MMS";"Ammo MMS";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_double.Description.Details";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_double.Description.Name";"MMS Ammo";"MMS Ammo";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_double.Description.UIName";"Ammo MMS [DBL]";"Ammo MMS [DBL]";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_half.Description.Details";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_half.Description.Name";"MMS Ammo";"MMS Ammo";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_half.Description.UIName";"Ammo MMS [Half]";"Ammo MMS [Half]";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_Inferno.Description.Details";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";"Micro Missiles are an Advanced Guided Warhead. Doubled Ammo Bins replace one ammo bin's feeding and storing mechanism to fit 25% more shots into one location. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode, dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_Inferno.Description.Name";"MMS Ammo";"MMS Ammo";;"#000000";"#FFFFFF"
"Ammo_AmmunitionBox_MicroMissile_Inferno.Description.UIName";"Ammo MMS Inferno";"Ammo MMS Inferno";;"#000000";"#FFFFFF"
