"AmbushConvoy_AssetDenial_NEW.contractName";"Asset Denial";"Asset Denial";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList0.dialogueContent0.words";"All right, Commander, our goal is to track down the convoy...";"Хорошо, командир, ваша цель - выследить конвой.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList0.dialogueContent1.words";"...so let's scout out the target area. When we've found the convoy, we stop it from reaching its destination.";"…поэтоу изучите указанную область. Когда конвой будет обнаружен - его необходимо остановить.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList0.dialogueContent2.words";"Then we make our way to the evac zone.";"Then we make our way to the evac zone.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList0.dialogueContent3.words";"Get to it, Commander.";"За дело, командир.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList1.dialogueContent0.words";"Mission accomplished. The fire support vehicles have been neutralized.";"Mission accomplished. The fire support vehicles have been neutralized.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList2.dialogueContent0.words";"Nothing more to do here Commander, lets go home.";"Nothing more to do here Commander, lets go home.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList3.dialogueContent0.words";"The target vehicles should be just ahead. Be careful commander, who knows what they're packing.";"The target vehicles should be just ahead. Be careful commander, who knows what they're packing.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList4.dialogueContent0.words";"That's got it, primary target damaged. Keep on those ones.";"That's got it, primary target damaged. Keep on those ones.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList5.dialogueContent0.words";"The guard units are dealt with; a wise move.";"The guard units are dealt with; a wise move.";;"#000000";"#FFFFFF"
"AmbushConvoy_AssetDenial_NEW.dialogueList6.dialogueContent0.words";"Warning, Commander! The target vehicles have begun to arrive at their destination; not much time left before they escape!";"Warning, Commander! The target vehicles have begun to arrive at their destination; not much time left before they escape!";;"#000000";"#FFFFFF"
