"AbilityDef_DoneController_Ping.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown and Ends your Turn.";"АКТИВАЦИЯ: выполняет Sensor Lock на всех врагов в радиусе [FloatParam1] м, при этом генерирует [FloatParam2] тепла. Заканчивает ваш ход. Перезарядка: [ActivationCooldown] раунда.";;"#000000";"#FFFFFF"
"AbilityDef_DoneController_Ping.Description.Name";"DroneContoller PING";"Дрон PING";;"#000000";"#FFFFFF"
"AbilityDef_EWS_Ping.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown and Ends your Turn.";"АКТИВАЦИЯ: выполняет Sensor Lock на всех врагов в радиусе [FloatParam1] м, при этом генерирует [FloatParam2] тепла. Заканчивает ваш ход. Перезарядка: [ActivationCooldown] раунда.";;"#000000";"#FFFFFF"
"AbilityDef_EWS_Ping.Description.Name";"EWS PING";"EWS PING";;"#000000";"#FFFFFF"
"AbilityDef_UAV_D250_H5_CD3.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown and Ends your Turn.";"АКТИВАЦИЯ: выполняет Sensor Lock на всех врагов в радиусе [FloatParam1] м, при этом генерирует [FloatParam2] тепла. Заканчивает ваш ход. Перезарядка: [ActivationCooldown] раунда.";;"#000000";"#FFFFFF"
"AbilityDef_UAV_D250_H5_CD3.Description.Name";"UAV PING";"UAV ПИНГ";;"#000000";"#FFFFFF"
"AbilityDef_UAV_D500_H20_CD6.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown and Ends your Turn.";"АКТИВАЦИЯ: выполняет Sensor Lock на всех врагов в радиусе [FloatParam1] м, при этом генерирует [FloatParam2] тепла. Заканчивает ваш ход. Перезарядка: [ActivationCooldown] раунда.";;"#000000";"#FFFFFF"
"AbilityDef_UAV_D500_H20_CD6.Description.Name";"SpySat PING";"Спутник-шпион";;"#000000";"#FFFFFF"
"AbilityDef_UAV_Ping.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown and Ends your Turn.";"АКТИВАЦИЯ: выполняет Sensor Lock на всех врагов в радиусе [FloatParam1] м, при этом генерирует [FloatParam2] тепла. Заканчивает ваш ход. Перезарядка: [ActivationCooldown] раунда.";;"#000000";"#FFFFFF"
"AbilityDef_UAV_Ping.Description.Name";"UAV PING";"UAV ПИНГ";;"#000000";"#FFFFFF"
