"Avatar_Laser_AMS.Description.Details";"The Laser Anti-Missile System (LAMS) is an advanced variation of the standard Anti-Missile Systems. While the standard system utilizes a machine gun linked to specialized tracking systems, the LAMS uses a Small Pulse Laser, ensuring that the system never runs out of ammunition.  ";"Лазерная противоракетная система (LAMS) это улучшенный вариант стандартной системы ПРО. В то время, как стандартная система полагается на пулеметы, подсоединенные к системам наведения, LAMS использует малый импульсный лазер, а значит система никогда не останется без боекомплекта.";;"#000000";"#FFFFFF"
"Avatar_Laser_AMS.Description.Name";"LAMS";"Laser AMS";;"#000000";"#FFFFFF"
"Avatar_Laser_AMS.Description.UIName";"Laser AMS";"Laser AMS";;"#000000";"#FFFFFF"
"BFG_Side_Left.Description.Details";"This is a collection of patchwork materials (e.g. ferro-fibrous armour, endo steel structure, or ultralight composites) which provide the same degree of protection at a lighter weight, but at the cost of critical slots. ";"This is a collection of patchwork materials (e.g. ferro-fibrous armour, endo steel structure, or ultralight composites) which provide the same degree of protection at a lighter weight, but at the cost of critical slots.";;"#000000";"#FFFFFF"
"BFG_Side_Left.Description.Name";"BFG Left Torso Piece";"BFG левая часть";;"#000000";"#FFFFFF"
"BFG_Side_Left.Description.UIName";"BFG 9000";"BFG 9000";;"#000000";"#FFFFFF"
"BFG_Side_Right.Description.Details";"This is a collection of patchwork materials (e.g. ferro-fibrous armour, endo steel structure, or ultralight composites) which provide the same degree of protection at a lighter weight, but at the cost of critical slots. ";"This is a collection of patchwork materials (e.g. ferro-fibrous armour, endo steel structure, or ultralight composites) which provide the same degree of protection at a lighter weight, but at the cost of critical slots.";;"#000000";"#FFFFFF"
"BFG_Side_Right.Description.Name";"BFG Right Torso Piece";"BFG правая часть";;"#000000";"#FFFFFF"
"BFG_Side_Right.Description.UIName";"BFG 9000";"BFG 9000";;"#000000";"#FFFFFF"
"BRRRT_Side_Left.Description.Details";"This Prototype Rotary AC10 has advanced stabilizer and increased range but requires more space. Once this weapon was built, the engineers looked at the creation, and proclaimed it needed wings. \n\n<b><color=#ffcc00>Uses RAC10 Ammo.</color></b> \n\n<b><color=#099ff2>VOLATILE!</color></b> ";"This Prototype Rotary AC10 has advanced stabilizer and increased range but requires more space. Once this weapon was built, the engineers looked at the creation, and proclaimed it needed wings. 

<b><color=#ffcc00>Uses RAC10 Ammo.</color></b> 

<b><color=#099ff2>VOLATILE!</color></b>";;"#000000";"#FFFFFF"
"BRRRT_Side_Left.Description.Name";"BRRT Left Torso Piece";"BRRT левая часть";;"#000000";"#FFFFFF"
"BRRRT_Side_Left.Description.UIName";"R/AC/10 (BRRT)";"R/AC/10 (BRRT)";;"#000000";"#FFFFFF"
"BRRRT_Side_Right.Description.Details";"This Prototype Rotary AC10 has advanced stabilizer and increased range but requires more space. Once this weapon was built, the engineers looked at the creation, and proclaimed it needed wings. \n\n<b><color=#ffcc00>Uses RAC10 Ammo.</color></b> \n\n<b><color=#099ff2>VOLATILE!</color></b> ";"This Prototype Rotary AC10 has advanced stabilizer and increased range but requires more space. Once this weapon was built, the engineers looked at the creation, and proclaimed it needed wings. 

<b><color=#ffcc00>Uses RAC10 Ammo.</color></b> 

<b><color=#099ff2>VOLATILE!</color></b>";;"#000000";"#FFFFFF"
"BRRRT_Side_Right.Description.Name";"BRRT Right Torso Piece";"BRRT правая часть";;"#000000";"#FFFFFF"
"BRRRT_Side_Right.Description.UIName";"R/AC/10 (BRRT)";"R/AC/10 (BRRT)";;"#000000";"#FFFFFF"
"compact_kit_dhs_proto.Description.Details";"Being unable to efficiently extend the PDHS effects to the entire Engine Block have Luthien Engineers mananged to combine a Compact with PDHS Cooling, creating a less Bulky Cooling at cost of some weight. Treating the Engines <b>Cooling System</b> with this experimental system improves the general performance at risk of a Fatal Explosion. <b><color=#099ff2>VOLATILE!</color></b>";"Being unable to efficiently extend the PDHS effects to the entire Engine Block have Luthien Engineers mananged to combine a Compact with PDHS Cooling, creating a less Bulky Cooling at cost of some weight. Treating the Engines <b>Cooling System</b> with this experimental system improves the general performance at risk of a Fatal Explosion. <b><color=#099ff2>VOLATILE!</color></b>";;"#000000";"#FFFFFF"
"compact_kit_dhs_proto.Description.Name";"Proto DHS Engine Kit";"Proto DHS Engine Kit";;"#000000";"#FFFFFF"
"compact_kit_dhs_proto.Description.UIName";"Heat Sink Kit (Prototype) +";"Heat Sink Kit (Prototype) +";;"#000000";"#FFFFFF"
"compact_kit_dhs_proto.StatusEffect-Heat_GenReduction-PDHSKIT.statusEffects0.Details";"Heat generation reduced by 10%.";"Генерация тепла понижена на 10%.";;"#000000";"#FFFFFF"
"compact_kit_dhs_proto.StatusEffect-Heat_GenReduction-PDHSKIT.statusEffects0.Name";"HEAT GENERATION DECREASED";"НАГРЕВ ПОНИЖЕН";;"#000000";"#FFFFFF"
