"chassisdef_adder_ADR-Z.Description.Details";"Codenamed Puma by Inner Sphere forces who first engaged it, the Adder is a light Clan OmniMech that serves as a direct or an indirect fire-Zupport unit in most of its configurations. The ADR-Z only carries a pair of Society-design MRM 30s and the hard-mounted Flamer, leaving it vulnerable once the MRMs run dry.\n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.09</color></b>";"Codenamed Puma by Inner Sphere forces who first engaged it, the Adder is a light Clan OmniMech that serves as a direct or an indirect fire-Zupport unit in most of its configurations. The ADR-Z only carries a pair of Society-design MRM 30s and the hard-mounted Flamer, leaving it vulnerable once the MRMs run dry.

<b><color=#e62e00>Склонность: Narrow/Low Profile</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.09</color></b>";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-Z.StockRole";"Light Brawler";"Лёгкий борец";;"#000000";"#FFFFFF"
"chassisdef_adder_ADR-Z.YangsThoughts";"Codenamed Puma by Inner Sphere forces who first engaged it, the Adder is a light Clan OmniMech that serves as a direct or an indirect fire-Zupport unit in most of its configurations. The ADR-Z only carries a pair of Society-design MRM 30s and the hard-mounted Flamer, leaving it vulnerable once the MRMs run dry.";"Codenamed Puma by Inner Sphere forces who first engaged it, the Adder is a light Clan OmniMech that serves as a direct or an indirect fire-Zupport unit in most of its configurations. The ADR-Z only carries a pair of Society-design MRM 30s and the hard-mounted Flamer, leaving it vulnerable once the MRMs run dry.";;"#000000";"#FFFFFF"
"chassisdef_blood_asp_BAS-Z.Description.Details";"The Blood Asp Z is a Society configuration of the Smoke Jaguar's terrifying assault mech. The Z configuration mounts a pair of massive Society Heavy Gauss Rifles backed up with a pair of Medium Heavy Lasers. Like most Society designs, the Blood Asp features a series of electronics upgrades including a Nova CEWS.\n\n<b><color=#e62e00>Quirk: Rugged</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.25</color></b>";"The Blood Asp Z is a Society configuration of the Smoke Jaguar's terrifying assault mech. The Z configuration mounts a pair of massive Society Heavy Gauss Rifles backed up with a pair of Medium Heavy Lasers. Like most Society designs, the Blood Asp features a series of electronics upgrades including a Nova CEWS.

<b><color=#e62e00>Склонность: Прочный</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.25</color></b>";;"#000000";"#FFFFFF"
"chassisdef_blood_asp_BAS-Z.StockRole";"Juggernaut";"Джаггернаут";;"#000000";"#FFFFFF"
"chassisdef_blood_asp_BAS-Z.YangsThoughts";"Incredible boss, those Smoke Jaguars sure know how to make a solid mech. The Blood Asp is extremely fast for its tonnage with that 360 XL engine and it still somehow manages to have nearly half its weight available in pod space!";"Incredible boss, those Smoke Jaguars sure know how to make a solid mech. The Blood Asp is extremely fast for its tonnage with that 360 XL engine and it still somehow manages to have nearly half its weight available in pod space!";;"#000000";"#FFFFFF"
"chassisdef_commando_iic_COM-IIC-Z.Description.Details";"Dubbed the Commando IIC, this upgrade used newer technologies to outperform its venerable cousin. With the proliferation of OmniMechs, most Commando IICs were relegated to second line status which made them prime candidates for Society cabals to quietly pilfer into their own ranks. The Z variant mounts a pair of SRM4s, a pair of Medium Supra Lasers, and a Streak NARC launcher.\n\n<b><color=#e62e00>Quirk: Narrow/Low Profile</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.12</color></b>";"Dubbed the Commando IIC, this upgrade used newer technologies to outperform its venerable cousin. With the proliferation of OmniMechs, most Commando IICs were relegated to second line status which made them prime candidates for Society cabals to quietly pilfer into their own ranks. The Z variant mounts a pair of SRM4s, a pair of Medium Supra Lasers, and a Streak NARC launcher.

<b><color=#e62e00>Склонность: Narrow/Low Profile</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.12</color></b>";;"#000000";"#FFFFFF"
"chassisdef_commando_iic_COM-IIC-Z.StockRole";"Clan BattleMech";"Боевой мех кланов";;"#000000";"#FFFFFF"
"chassisdef_commando_iic_COM-IIC-Z.YangsThoughts";"Dubbed the Commando IIC, this upgrade used newer technologies to outperform its venerable cousin. With the proliferation of OmniMechs, most Commando IICs were relegated to second line status which made them prime candidates for Society cabals to quietly pilfer into their own ranks. The Z variant mounts a pair of SRM4s, a pair of Medium Supra Lasers, and a Streak NARC launcher.";"Dubbed the Commando IIC, this upgrade used newer technologies to outperform its venerable cousin. With the proliferation of OmniMechs, most Commando IICs were relegated to second line status which made them prime candidates for Society cabals to quietly pilfer into their own ranks. The Z variant mounts a pair of SRM4s, a pair of Medium Supra Lasers, and a Streak NARC launcher.";;"#000000";"#FFFFFF"
"chassisdef_dragonfire_iic_DGR-IIC-A.Description.Details";"Despite being designed by the Star League before the Exodus, the Dragon Fire was not seen in the Inner Sphere until the 3050s. However, an updated version of the original Star League design was developed as proposed to Clan leadership during the Golden Century but was never adopted in favor of  Omnimechs designs. Not willing to give up on the design, several members of the Society continued redesigning the Dragon Fire in secret. By the Wars of Reaving, the Dragon Fire IIC Omnimech is vastly more advanced than it's Inner Sphere cousin.\n\n<b><color=#e62e00>Quirk: Rugged</color></b>\n\n<b><color=#e62e00>Drop Cost Multiplier: 1.2</color></b>";"Despite being designed by the Star League before the Exodus, the Dragon Fire was not seen in the Inner Sphere until the 3050s. However, an updated version of the original Star League design was developed as proposed to Clan leadership during the Golden Century but was never adopted in favor of Omnimechs designs. Not willing to give up on the design, several members of the Society continued redesigning the Dragon Fire in secret. By the Wars of Reaving, the Dragon Fire IIC Omnimech is vastly more advanced than it's Inner Sphere cousin.

<b><color=#e62e00>Склонность: Прочный</color></b>

<b><color=#e62e00>Множитель стоимости высадки: 1.2</color></b>";;"#000000";"#FFFFFF"
"chassisdef_dragonfire_iic_DGR-IIC-A.StockRole";"Ranged Assault";"Дальнобойный штурм";;"#000000";"#FFFFFF"
