"AttackDefend_CoveringFire.contractName";"Covering Fire";"Covering Fire";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent0.words";"Argo, we've taken control of the facility. Our DropShips are on station; as soon as the area's secure we'll start evacuating our people.";"Argo, we've taken control of the facility. Our DropShips are on station; as soon as the area's secure we'll start evacuating our people.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent1.words";"Acknowledged. Meyer, how long have we got before the bad guys respond?";"Acknowledged. Meyer, how long have we got before the bad guys respond?";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent2.words";"Uh, now? They're inbound to you now?";"Uh, now? They're inbound to you now?";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent3.words";"Commander, they're going to keep sending 'Mechs at us until they destroy this base. You'll need to get their attention or they'll bury the civilians in rubble.";"Commander, they're going to keep sending 'Mechs at us until they destroy this base. You'll need to get their attention or they'll bury the civilians in rubble.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent4.words";"The good news is that once you take out the military facility, they'll have no eyes on their LZ, so they'll have to stop landing more forces.";"The good news is that once you take out the military facility, they'll have no eyes on their LZ, so they'll have to stop landing more forces.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList0.dialogueContent5.words";"Darius, you have a really weird definition of 'good news'. Commander, I'll move in for a pickup once you get that base flattened. Don't keep me waiting.";"Darius, you have a really weird definition of 'good news'. Commander, I'll move in for a pickup once you get that base flattened. Don't keep me waiting.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList1.dialogueContent0.words";"We've got it from here, Argo. Thanks for the help.";"We've got it from here, Argo. Thanks for the help.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList1.dialogueContent1.words";"Another job well done.";"Another job well done.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList10.dialogueContent0.words";"That's the last structure, Commander. That should slow down the attackers. Meyer, are you ready for pickup?";"That's the last structure, Commander. That should slow down the attackers. Meyer, are you ready for pickup?";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList10.dialogueContent1.words";"Affirmative, XO. Let's get out of here, boss.";"Affirmative, XO. Let's get out of here, boss.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList11.dialogueContent0.words";"Commander, we've completed all the primary objectives and you're clear to extract.";"Commander, we've completed all the primary objectives and you're clear to extract.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList11.dialogueContent1.words";"I'm on station to pick you up here whenever you're ready, boss.";"I'm on station to pick you up here whenever you're ready, boss.";;"#000000";"#FFFFFF"
"AttackDefend_CoveringFire.dialogueList11.dialogueContent2.words";"As long as you're still in the AO, Commander, you'll need to keep the {TEAM_EMP.FactionDef.Demonym} base secure.";"As long as you're still in the AO, Commander, you'll need to keep the {TEAM_EMP.FactionDef.Name} base secure.";;"#000000";"#FFFFFF"
