itemCollection_table_eventDubiousIntentions,"Event Reward Source: Hell of a Deal",,
mechdef_cicada_CDA-3G,Mech,1,2
mechdef_cicada_CDA-3F,Mech,1,2
mechdef_cicada_CDA-3M,Mech,1,2
mechdef_clint_CLNT-2-3U,Mech,1,2
mechdef_commando_COM-5S,Mech,1,4
mechdef_firestarter_FS9-S,Mech,1,4
mechdef_firestarter_FS9-S1,Mech,1,4
mechdef_hollander_BZK-G1,Mech,1,4
mechdef_hollander_BZK-F3,Mech,1,4
mechdef_hussar_HSR-200-Db,Mech,1,4
mechdef_hussar_HSR-400-D,Mech,1,4
mechdef_hussar_HSR-450-D,Mech,1,4
mechdef_incubus_vixen-1,Mech,1,2
mechdef_incubus_INC-2,Mech,1,2
mechdef_incubus_INC-3,Mech,1,2
mechdef_jenner_JR7-C,Mech,1,4
mechdef_jenner_iic_JR7-IIC-1,Mech,1,2
mechdef_locust_iic_LCT-IIC-1,Mech,1,2
mechdef_mantis_MTS-S,Mech,1,4
mechdef_mongoose_MON-66,Mech,1,4
mechdef_mongoose_MON-66B,Mech,1,4
mechdef_nighthawk_NTK-2Q,Mech,1,4
mechdef_nighthawk_NTK-2S,Mech,1,4
mechdef_ostscout_OTT-7Jb,Mech,1,4
mechdef_panther_PNT-C,Mech,1,4
mechdef_panther_PNT-CA,Mech,1,4
mechdef_panther_PNT-10K,Mech,1,4
mechdef_panther_PNT-10KA,Mech,1,4
mechdef_sentinel_STN-3L,Mech,1,2
mechdef_sentinel_STN-3Lb,Mech,1,2
mechdef_spider_SDR-7M,Mech,1,4
mechdef_spider_SDR-8M,Mech,1,4
mechdef_talon_TLN-5W,Mech,1,4
mechdef_urbanmech_UM-R63,Mech,1,4
mechdef_Valkyrie_VLK-QD,Mech,1,4
mechdef_wolfhound_WLF-2,Mech,1,4
